DD_number,DD_start_date,DD_end_date,Max_dd,Max_dd_date,DD_period,DD_recovery_period
1,2000-06-12,2000-06-16,-0.0007108956250000119,2000-06-13,4 days,3 days
2,2000-06-21,2000-07-19,-0.004349285250000002,2000-06-30,28 days,19 days
3,2000-07-25,2000-07-26,-0.0013950000000000043,2000-07-25,1 days,1 days
4,2000-07-27,2000-09-08,-0.004368241000000024,2000-08-17,43 days,22 days
5,2000-09-11,2000-09-12,-0.0008625,2000-09-11,1 days,1 days
6,2000-09-13,2000-09-18,-0.0023888652500000155,2000-09-15,5 days,3 days
7,2000-09-20,2000-09-22,-0.0010299999999999955,2000-09-20,2 days,2 days
8,2000-09-25,2000-09-26,-0.0010224999999999913,2000-09-25,1 days,1 days
9,2000-09-27,2000-10-13,-0.0038837577500000072,2000-10-09,16 days,4 days
10,2000-10-16,2000-10-17,-1.499999999999709e-05,2000-10-16,1 days,1 days
11,2000-10-19,2000-10-20,-0.0013949999999999941,2000-10-19,1 days,1 days
12,2000-10-23,2000-11-02,-0.002610242749999999,2000-10-30,10 days,3 days
13,2000-11-06,2000-11-07,-0.00017249999999999126,2000-11-06,1 days,1 days
14,2000-11-10,2000-12-22,-0.006254298000000007,2000-11-27,42 days,25 days
15,2000-12-27,2001-01-24,-0.003081579250000004,2001-01-02,28 days,22 days
16,2001-01-29,2001-01-30,-0.0013224999999999912,2001-01-29,1 days,1 days
17,2001-01-31,2001-02-02,-0.0010525,2001-02-01,2 days,1 days
18,2001-02-07,2001-02-08,-0.0008200000000000058,2001-02-07,1 days,1 days
19,2001-02-12,2001-02-15,-0.0006149999999999971,2001-02-13,3 days,2 days
20,2001-02-16,2001-02-23,-0.001693299000000002,2001-02-19,7 days,4 days
21,2001-02-28,2001-03-13,-0.0058052045000000045,2001-03-02,13 days,11 days
22,2001-03-14,2001-04-11,-0.00417731650000001,2001-03-30,28 days,12 days
23,2001-04-16,2001-10-16,-0.012238891750000097,2001-08-29,183 days,48 days
24,2001-10-18,2001-10-22,-0.0006875,2001-10-18,4 days,4 days
25,2001-10-24,2001-11-15,-0.0023441877500000002,2001-11-07,22 days,8 days
26,2001-11-20,2001-11-26,-0.0007849999999999884,2001-11-20,6 days,6 days
27,2001-11-27,2001-12-21,-0.0024420670000000044,2001-12-04,24 days,17 days
28,2001-12-24,2001-12-26,-0.0001824999999999942,2001-12-24,2 days,2 days
29,2001-12-28,2002-07-29,-0.009233347750000113,2002-03-20,213 days,131 days
30,2002-07-31,2002-08-01,-0.0001,2002-07-31,1 days,1 days
31,2002-08-05,2002-11-28,-0.004784887250000029,2002-10-22,115 days,37 days
32,2002-11-29,2002-12-02,-0.0001975,2002-11-29,3 days,3 days
33,2002-12-03,2002-12-06,-0.00119,2002-12-04,3 days,2 days
34,2002-12-09,2002-12-13,-0.0006575000000000058,2002-12-09,4 days,4 days
35,2002-12-16,2002-12-24,-0.0007625,2002-12-17,8 days,7 days
36,2002-12-30,2003-01-01,-0.00034,2002-12-31,2 days,1 days
37,2003-01-02,2003-06-17,-0.006762768500000122,2003-04-10,166 days,68 days
38,2003-06-23,2003-06-25,-0.000525,2003-06-23,2 days,2 days
39,2003-06-27,2003-06-30,-0.00010999999999998836,2003-06-27,3 days,3 days
40,2003-07-01,2003-07-02,-0.00011999999999999418,2003-07-01,1 days,1 days
41,2003-07-04,2003-07-07,-5.25e-05,2003-07-04,3 days,3 days
42,2003-07-08,2003-07-10,-0.0003424999999999942,2003-07-09,2 days,1 days
43,2003-07-11,2003-07-14,-8.5e-05,2003-07-11,3 days,3 days
44,2003-07-15,2003-07-16,-0.0006674999999999942,2003-07-15,1 days,1 days
45,2003-07-17,2003-07-22,-0.001474661499999999,2003-07-18,5 days,4 days
46,2003-07-23,2003-08-18,-0.0037778022500000313,2003-08-07,26 days,11 days
47,2003-08-25,2003-08-26,-0.0019424999999999941,2003-08-25,1 days,1 days
48,2003-08-28,2003-08-29,-0.0001625,2003-08-28,1 days,1 days
49,2003-09-03,2003-09-05,-0.00128,2003-09-03,2 days,2 days
50,2003-09-09,2003-09-18,-0.0021606984999999984,2003-09-12,9 days,6 days
51,2003-09-19,2003-09-22,-0.00108,2003-09-19,3 days,3 days
52,2003-09-23,2003-10-03,-0.004368078500000003,2003-09-25,10 days,8 days
53,2003-10-07,2003-10-09,-0.0003525,2003-10-07,2 days,2 days
54,2003-10-14,2003-10-16,-0.0015825,2003-10-14,2 days,2 days
55,2003-10-20,2003-11-03,-0.0037176604999999982,2003-10-25,14 days,9 days
56,2003-11-05,2003-11-19,-0.0018313057499999995,2003-11-17,14 days,2 days
57,2003-11-21,2003-11-28,-0.0022985777500000083,2003-11-25,7 days,3 days
58,2003-12-02,2003-12-03,-0.0001225,2003-12-02,1 days,1 days
59,2003-12-05,2003-12-09,-0.0014625,2003-12-05,4 days,4 days
60,2003-12-17,2003-12-18,-0.0002025,2003-12-17,1 days,1 days
61,2003-12-23,2003-12-24,-0.000325,2003-12-23,1 days,1 days
62,2004-01-06,2004-01-08,-0.00171,2004-01-06,2 days,2 days
63,2004-01-12,2004-01-14,-0.00149,2004-01-12,2 days,2 days
64,2004-01-15,2004-01-16,-0.0020717724999999975,2004-01-15,1 days,1 days
65,2004-01-19,2004-01-20,-0.0019175,2004-01-19,1 days,1 days
66,2004-01-23,2004-04-05,-0.008576674500000046,2004-01-28,73 days,68 days
67,2004-04-06,2004-04-08,-0.00035,2004-04-07,2 days,1 days
68,2004-04-12,2004-04-13,-0.000985,2004-04-12,1 days,1 days
69,2004-04-15,2004-05-14,-0.008837005500000017,2004-05-07,29 days,7 days
70,2004-05-18,2005-02-03,-0.028927755500000027,2004-07-15,261 days,203 days
71,2005-02-04,2005-02-11,-0.001345,2005-02-08,7 days,3 days
72,2005-02-15,2005-03-23,-0.004927767500000028,2005-03-01,36 days,22 days
73,2005-03-28,2005-03-29,-0.0010925,2005-03-28,1 days,1 days
74,2005-03-30,2005-04-19,-0.005758733000000007,2005-04-08,20 days,11 days
75,2005-04-20,2005-06-30,-0.009002418000000064,2005-05-04,71 days,57 days
76,2005-07-01,2005-07-04,-0.0006875,2005-07-01,3 days,3 days
77,2005-07-05,2005-08-02,-0.006719032000000053,2005-07-15,28 days,18 days
78,2005-08-03,2005-08-04,-0.0004375,2005-08-03,1 days,1 days
79,2005-08-05,2005-09-16,-0.008015507250000024,2005-08-31,42 days,16 days
80,2005-09-21,2005-10-20,-0.00935153300000003,2005-10-11,29 days,9 days
81,2005-10-21,2005-10-27,-0.002585,2005-10-21,6 days,6 days
82,2005-10-31,2005-11-11,-0.005648643250000035,2005-11-02,11 days,9 days
83,2005-11-21,2005-11-24,-0.0025924999999999768,2005-11-22,3 days,2 days
84,2005-11-29,2005-12-13,-0.004562723750000098,2005-12-07,14 days,6 days
85,2005-12-14,2005-12-16,-0.0018025000000000233,2005-12-15,2 days,1 days
86,2005-12-20,2005-12-26,-0.0026218679999999933,2005-12-23,6 days,3 days
87,2005-12-27,2006-03-24,-0.010265453750000033,2006-02-20,87 days,32 days
88,2006-03-31,2006-04-03,-0.0007675,2006-03-31,3 days,3 days
89,2006-04-07,2006-07-05,-0.037547232000000125,2006-05-18,89 days,48 days
90,2006-07-06,2006-08-28,-0.012563828000000027,2006-07-14,53 days,45 days
91,2006-08-31,2006-09-04,-0.000925,2006-08-31,4 days,4 days
92,2006-09-05,2007-10-11,-0.061103938500000454,2007-08-27,401 days,45 days
93,2007-10-12,2007-10-15,-0.005207500000000023,2007-10-12,3 days,3 days
94,2007-10-16,2008-01-22,-0.04761572250000017,2008-01-15,98 days,7 days
95,2008-01-23,2008-06-24,-0.041589114750000135,2008-02-22,153 days,123 days
96,2008-06-25,2008-06-27,-0.007195000000000023,2008-06-26,2 days,1 days
97,2008-07-02,2008-10-17,-0.0488758290000001,2008-09-25,107 days,22 days
98,2008-10-20,2008-10-22,-0.008532499999999976,2008-10-21,2 days,1 days
99,2008-10-28,2008-11-20,-0.018263228500000037,2008-10-31,23 days,20 days
100,2008-11-21,2009-03-26,-0.024618481500000112,2008-12-05,125 days,111 days
101,2009-03-30,2009-04-02,-0.0068225,2009-03-30,3 days,3 days
102,2009-04-09,2009-04-13,-5e-06,2009-04-09,4 days,4 days
103,2009-04-16,2009-05-29,-0.03487412525000004,2009-05-15,43 days,14 days
104,2009-06-02,2009-06-04,-0.0003825,2009-06-02,2 days,2 days
105,2009-06-08,2011-09-08,-0.06272369575000121,2010-09-01,822 days,372 days
106,2011-09-09,2012-02-01,-0.04754621725000008,2011-09-30,145 days,124 days
107,2012-02-07,2012-02-08,-0.0005825000000000465,2012-02-07,1 days,1 days
108,2012-02-10,2012-02-14,-0.0019700000000000464,2012-02-10,4 days,4 days
109,2012-02-16,2012-02-17,-0.0007375,2012-02-16,1 days,1 days
110,2012-02-22,2012-02-27,-0.0072322495000000115,2012-02-24,5 days,3 days
111,2012-02-28,2012-03-05,-0.005145,2012-02-28,6 days,6 days
112,2012-03-07,2012-03-14,-0.0057679622500000525,2012-03-09,7 days,5 days
113,2012-03-15,2014-05-20,-0.05122591650000033,2012-05-03,796 days,747 days
114,2014-05-21,2014-05-23,-0.00103,2014-05-21,2 days,2 days
115,2014-05-26,2014-06-09,-0.014506569000000087,2014-06-02,14 days,7 days
116,2014-06-10,2014-11-28,-0.03606076625000094,2014-08-13,171 days,107 days
117,2014-12-01,2014-12-12,-0.007557346249999944,2014-12-08,11 days,4 days
118,2014-12-18,2016-04-27,-0.0717700125000007,2015-06-02,496 days,330 days
119,2016-04-28,2017-10-26,-0.09556304000000097,2016-11-01,546 days,359 days
120,2017-10-31,2017-11-01,-0.0009975000000000465,2017-10-31,1 days,1 days
121,2017-11-02,2017-11-03,-0.0011149999999999535,2017-11-02,1 days,1 days
122,2017-11-07,2017-11-15,-0.00723282349999994,2017-11-09,8 days,6 days
123,2017-11-16,2018-01-15,-0.02050007375000012,2017-12-13,60 days,33 days
124,2018-01-16,2018-01-17,-0.0016875,2018-01-16,1 days,1 days
125,2018-01-24,2018-01-29,-0.0007900000000000465,2018-01-25,5 days,4 days
126,2018-01-30,2018-02-20,-0.019251337749999948,2018-02-02,21 days,18 days
127,2018-02-21,2018-03-07,-0.010754416499999957,2018-03-01,14 days,6 days
128,2018-03-08,2018-09-11,-0.041573921499999986,2018-04-05,187 days,159 days
129,2018-09-12,2018-09-24,-0.017876824999999905,2018-09-17,12 days,7 days
130,2018-09-25,2018-09-27,-0.0044375,2018-09-25,2 days,2 days
131,2018-10-01,2018-10-03,-0.005375,2018-10-01,2 days,2 days
132,2018-10-08,2018-10-09,-0.0015925,2018-10-08,1 days,1 days
133,2018-10-10,2018-10-11,-0.0075675,2018-10-10,1 days,1 days
134,2018-10-12,2020-03-16,-0.13024535775000262,2020-01-24,521 days,52 days
135,2020-03-20,2020-03-23,-0.02586,2020-03-20,3 days,3 days
136,2020-03-24,2020-05-18,-0.14311528550000066,2020-04-08,55 days,40 days
