,Total Trades,Profit Factor,Total Profit,Average Profit,Max Profit,Min Profit,Average Duration,Hit Ratio,Profitability,Max DD in Trade,Max Profit in Trade,Max Loss in Trade,Max Recovery in Trade,Max DD Duration in Trade
ADSEZ IS Equity,262.0,0.914438430891428,-0.41510276773241905,-0.0015843617089023629,0.30619566717262314,-0.13393810032017073,10.320610687022901,0.29770992366412213,2.1571368113336247,-0.1715160796324655,0.41906995998344154,-0.13393810032017073,0.41906995998344154,13.0
APNT IS Equity,270.0,1.1181415508894927,0.42097300850660513,0.001559159290765204,0.20119067725046447,-0.08330017903322062,11.055555555555555,0.2851851851851852,2.8026145366450925,-0.10391466901253588,0.24514440128356696,-0.08330017903322062,0.2525539544009203,14.0
AXSB IS Equity,286.0,1.0566337299741653,0.2815794911633326,0.0009845436753962678,0.46012142955705815,-0.12193029490616625,10.076923076923077,0.2937062937062937,2.5409525411283496,-0.1578014184397163,0.581757968814682,-0.12193029490616625,0.606474668908976,15.0
BAF IS Equity,141.0,1.4033942655752694,1.077893147600029,0.007644632252482476,0.4643528682626554,-0.09843032421687581,10.914893617021276,0.2695035460992908,3.8039370882698087,-0.11150231703212798,0.5487847262448158,-0.09843032421687581,0.5487847262448158,12.0
BHARTI IS Equity,300.0,0.86799275167239,-0.6146775942795959,-0.0020489253142653195,0.2296903657352467,-0.08096310898338488,9.793333333333333,0.30333333333333334,1.993521814280544,-0.10345186109378235,0.35400258927608164,-0.08096310898338488,0.3599078965190303,10.0
BJAUT IS Equity,259.0,1.2110986950358233,0.6453844243716665,0.002491831754330759,0.3344728144643899,-0.06402729933854101,11.64092664092664,0.35135135135135137,2.235874513912289,-0.10139340895446936,0.3719622837146005,-0.06402729933854101,0.3776313648934442,15.0
BJFIN IS Equity,102.0,1.572837220938549,0.8811066388063689,0.008638300380454596,0.5481488471040352,-0.08374786916949928,9.333333333333334,0.24509803921568626,4.844338640490731,-0.08435656309221584,0.5738659758440845,-0.08374786916949928,0.5738659758440845,11.0
BPCL IS Equity,284.0,1.1635322895419002,0.7891519063248246,0.0027787038955099457,0.36811558409483824,-0.08029020556227329,10.633802816901408,0.33098591549295775,2.3518205852442664,-0.16724547614695662,0.4416340353476559,-0.141349415755748,0.441634035347656,13.0
CIPLA IS Equity,282.0,1.175166795888896,0.5937369099410216,0.0021054500352518496,0.4491827454835935,-0.06314878892733566,10.365248226950355,0.32978723404255317,2.3882421980967887,-0.09613562177529744,0.49637458522797107,-0.07804690503652467,0.49637458522797084,13.0
COAL IS Equity,271.0,0.8515346919050327,-0.5702651159718275,-0.002104299320929253,0.19060665362035223,-0.08424631658481307,10.081180811808117,0.2952029520295203,2.0330390769232656,-0.10288675055514429,0.22407045009784743,-0.08424631658481285,0.2998656816655474,12.0
DIVI IS Equity,292.0,0.8733792041992967,-0.5863910021019546,-0.002008188363362858,0.4392021311728054,-0.19777035963973044,9.67123287671233,0.2534246575342466,2.5729279258844144,-0.19777035963973044,0.4706712206712207,-0.19777035963973044,0.4706712206712207,10.0
DRRD IS Equity,264.0,1.2239277680035812,0.7071851096136132,0.002678731475809141,0.33506308506308513,-0.1597827212778935,11.147727272727273,0.3333333333333333,2.4478555360071623,-0.1597827212778935,0.3730328313661646,-0.1597827212778935,0.3759261776901639,14.0
EIM IS Equity,185.0,0.943275145626033,-0.17768724343636833,-0.0009604715861425315,0.2284466100982947,-0.10439504546181155,9.864864864864865,0.2702702702702703,2.546842893190289,-0.13033702580023043,0.26000273112112526,-0.10439504546181155,0.2793987420812425,13.0
GAIL IS Equity,290.0,0.8860001153588549,-0.49967882141055586,-0.0017230304186570892,0.3896177980604676,-0.11107994389901821,10.26896551724138,0.2689655172413793,2.408102877642016,-0.13098720292504573,0.4229001253656498,-0.11107994389901821,0.4306722689075628,15.0
GRASIM IS Equity,271.0,1.2682172920131716,0.9895726475685185,0.0036515595851236843,0.3992539672504267,-0.08606738266882452,10.885608856088561,0.2693726937269373,3.4398222440905197,-0.08606738266882474,0.4910539293165582,-0.08606738266882474,0.49105392931655834,16.0
HCLT IS Equity,289.0,0.827546721784713,-0.7362481368330305,-0.002547571407726749,0.23473507148864592,-0.1276210199326948,10.301038062283737,0.2975778546712803,1.9533951688639157,-0.12774783934926293,0.3170731707317074,-0.1276210199326948,0.3170731707317074,14.0
HDFC IS Equity,306.0,0.6479771677541077,-1.6369253955827436,-0.005349429397329228,0.30571695152466183,-0.07323440959714467,9.702614379084967,0.2549019607843137,1.8940871057427764,-0.11560241121056347,0.35945120658212815,-0.07323440959714467,0.37290131917080704,10.0
HDFCB IS Equity,283.0,1.0598561809780158,0.17640830637385552,0.0006233509059146838,0.2626582278481012,-0.08970748546511631,10.173144876325088,0.2862190812720848,2.6430981303402366,-0.09427482026952294,0.3685681407200394,-0.08970748546511631,0.3685681407200394,11.0
HDFCLIFE IS Equity,19.0,0.8562193204761891,-0.05758362802535888,-0.0030307172644925724,0.20327617587891544,-0.08459893048128353,12.105263157894736,0.2631578947368421,2.3974140973333293,-0.10972617528707407,0.22569211610307494,-0.08459893048128353,0.22780923135975462,10.0
HMCL IS Equity,256.0,1.0764147401385595,0.26828109345005047,0.0010479730212892596,0.3250005309772105,-0.11386148209889724,11.22265625,0.30078125,2.502314785516911,-0.12900583012612898,0.33651211689994265,-0.11386148209889724,0.36887100282793117,13.0
HNDL IS Equity,282.0,1.1113607443290052,0.6147323599034931,0.0021799019854733797,0.46551242669645354,-0.08150470219435735,10.453900709219859,0.3262411347517731,2.2952015372012067,-0.169267707082833,0.5093549287908405,-0.08150470219435735,0.509354928790841,13.0
HUVR IS Equity,262.0,1.3394357900393432,0.8878570060391223,0.0033887671986226045,0.17504246178439398,-0.07388961463096022,11.16030534351145,0.33587786259541985,2.6484298575777925,-0.10423611111111108,0.1990930550378931,-0.07388961463096022,0.2070410729253982,11.0
ICICIBC IS Equity,295.0,0.9360503606390391,-0.2999330803211775,-0.0010167223061734831,0.38403472353274204,-0.15145778114350628,9.810169491525423,0.27796610169491526,2.431447888001406,-0.17184035476718407,0.4666918286469145,-0.15145778114350628,0.47071624562399483,12.0
IIB IS Equity,280.0,1.2693021891701661,1.2536130601776576,0.004477189500634492,0.7339888950112321,-0.1159671138035483,10.389285714285714,0.275,3.3463421350849836,-0.16018042588901715,0.7433560801932777,-0.1159671138035483,0.7483210065459494,12.0
INFO IS Equity,288.0,0.8907492316497237,-0.4271971542562387,-0.0014833234522786066,0.2749597423510466,-0.09210732471602046,9.90625,0.2916666666666667,2.163248134006472,-0.11295361691900985,0.32862890350597107,-0.09210732471602046,0.33209901940615794,18.0
IOCL IS Equity,276.0,1.1391958808710405,0.5820757429874929,0.0021089700832880175,0.27889162095706443,-0.10695708712613783,10.815217391304348,0.2898550724637681,2.7910299081340493,-0.11095890410958908,0.3788537923207871,-0.1069570871261376,0.39082323762281823,13.0
ITC IS Equity,286.0,1.0166986348443985,0.057887602911188774,0.00020240420598317753,0.2549478612470738,-0.06298617593456901,10.27972027972028,0.24825174825174826,3.0787353026978264,-0.11931003584229394,0.3775271334326452,-0.06298617593456912,0.38845988845988866,12.0
JSTL IS Equity,314.0,0.8331215919850709,-1.1202919197760628,-0.0035678086617072064,0.4769828064337216,-0.0883177992941816,9.101910828025478,0.2356687898089172,2.702015974005635,-0.1259349100464927,0.6126825660935475,-0.08831779929418149,0.6126825660935478,13.0
KMB IS Equity,275.0,1.0689119029235477,0.24720017465379673,0.0008989097260138063,0.41056332759781555,-0.07198760478328226,10.814545454545454,0.3054545454545455,2.430502064980924,-0.12489533295139044,0.4331188748410262,-0.07198760478328237,0.4331188748410262,15.0
LT IS Equity,259.0,1.4492798013643144,1.6040599123913912,0.006193281515024677,0.3944711911787545,-0.07965638422491206,11.32046332046332,0.3088803088803089,3.2427635555526533,-0.1045706487861584,0.4480121136822487,-0.07965638422491206,0.4837875472448774,11.0
MM IS Equity,280.0,0.9977111876394742,-0.009892749032112347,-3.533124654325838e-05,0.39086533924695677,-0.09862713075431251,10.57857142857143,0.2892857142857143,2.451166991855005,-0.12981904012588508,0.48938378786449,-0.09862713075431251,0.5025704493526275,12.0
MSIL IS Equity,255.0,1.4234370791674358,1.4074550312513812,0.005519431495103456,0.335291341060471,-0.08386362333439812,11.364705882352942,0.3333333333333333,2.846874158334871,-0.11470620160648393,0.4283706462337513,-0.08386362333439812,0.42837064623375154,16.0
NEST IS Equity,98.0,0.9942476754844105,-0.006463999060503767,-6.595917408677312e-05,0.14438051829579535,-0.05683982563789303,10.459183673469388,0.336734693877551,1.9583666335298993,-0.10500891698457104,0.1944888029442955,-0.05683982563789303,0.19900254529402384,11.0
NTPC IS Equity,281.0,1.1646328843425826,0.5260124514402906,0.0018719304321718527,0.28525641025641035,-0.11406292501586734,10.409252669039146,0.31316725978647686,2.5542516667968007,-0.11406292501586734,0.34683372183372163,-0.11406292501586734,0.34683372183372163,12.0
ONGC IS Equity,304.0,0.8524524395773359,-0.7057895505098934,-0.0023216761529930704,0.3545691906005223,-0.0975712185903268,9.625,0.2631578947368421,2.3868668308165404,-0.11018041237113407,0.3864229765013055,-0.0975712185903268,0.38642297650130564,15.0
SBILIFE IS Equity,14.0,1.1034037915174468,0.02043009771620541,0.001459292694014672,0.08819246597024377,-0.04317017333478679,12.714285714285714,0.42857142857142855,1.4712050553565958,-0.08108640031489878,0.11478315922760363,-0.04317017333478679,0.1226288561027018,9.0
SBIN IS Equity,268.0,1.3621151432096354,1.7005323071305791,0.006345269802726042,0.3664354146019162,-0.08643287283032242,10.906716417910447,0.31343283582089554,2.983680789887773,-0.10441262664322193,0.4423268633085087,-0.08643287283032253,0.4423268633085087,12.0
SUNP IS Equity,283.0,1.1134637784117425,0.4696375532407726,0.001659496654561034,0.24098949328368136,-0.09199301058690512,10.628975265017667,0.3286219081272085,2.2748184720239903,-0.14966308696567698,0.3032318127410558,-0.1005992604870587,0.3032318127410558,12.0
TATA IS Equity,264.0,1.2276766919854831,1.1806289317825889,0.004472079287055261,0.6335189604879341,-0.11884908379658232,11.231060606060606,0.2878787878787879,3.0368844485956688,-0.1188490837965821,0.6610978520286395,-0.1188490837965821,0.6759866220735784,11.0
TCS IS Equity,261.0,1.1003878468630115,0.31775073082034455,0.0012174357502695193,0.20471197239182382,-0.06419418218489725,11.789272030651341,0.32950191570881227,2.239161316291012,-0.10511734028683184,0.24150517653305004,-0.06419418218489703,0.2684775827931325,14.0
TECHM IS Equity,295.0,0.8981207466022676,-0.492038433486897,-0.001667926893175922,0.3741081773278858,-0.11832193765210341,9.671186440677966,0.27796610169491526,2.332923402759549,-0.17534513805522223,0.4044149033477651,-0.11832193765210341,0.41104031368704796,14.0
TTAN IS Equity,276.0,1.0249451452227658,0.12955008393808687,0.00046938436209451766,0.3129619101762364,-0.16976940977364086,10.442028985507246,0.26811594202898553,2.797823234256739,-0.16976940977364086,0.3934053439454237,-0.16976940977364086,0.41676300578034686,13.0
