,Total Trades,Profit Factor,Total Profit,Average Profit,Max Profit,Min Profit,Average Duration,Hit Ratio,Profitability,Max DD in Trade,Max Profit in Trade,Max Loss in Trade,Max Recovery in Trade,Max DD Duration in Trade
ADSEZ IS Equity,370.0,1.2027876277604665,1.3882624897837048,0.0037520607831992023,0.6213504823151126,-0.13727588975113725,10.491891891891893,0.3027027027027027,2.770707213948217,-0.1999200319872051,0.768231511254019,-0.13727588975113725,0.768231511254019,13.0
APNT IS Equity,600.0,1.01247519120993,0.1011344629041957,0.0001685574381736595,0.21885202738283316,-0.13154339750084432,10.218333333333334,0.27,2.737432924382403,-0.13310690603267028,0.2826086956521736,-0.1315433975008442,0.2826086956521736,15.0
AXSB IS Equity,596.0,1.1757749917743934,2.0719966596734185,0.003476504462539293,1.177135309656589,-0.13699582753824768,10.360738255033556,0.2902684563758389,2.8748718006969267,-0.1885025862633405,1.341502788376871,-0.13699582753824768,1.341502788376871,16.0
BAF IS Equity,583.0,1.2006835727141956,2.3499207588041693,0.004030738865873361,0.7358490566037734,-0.1478779840848805,10.010291595197256,0.2555746140651801,3.4972930909930255,-0.22356495468277948,0.7830188679245285,-0.14787798408488073,0.8068833652007648,13.0
BHARTI IS Equity,563.0,0.8797332140217626,-1.2639237612403793,-0.0022449800377271393,0.3423056106801372,-0.11199534755593643,9.898756660746004,0.2824156305506217,2.23529697147668,-0.19224422442244238,0.6617716038246437,-0.12809121871760698,0.6974789915966386,12.0
BJAUT IS Equity,340.0,1.4214390924557776,1.7864445500864023,0.005254248676724713,0.5578344581762937,-0.08718854070537252,11.132352941176471,0.32941176470588235,2.8936438667849758,-0.1459714100064975,0.6557104040669648,-0.08718854070537241,0.6750413809411209,14.0
BJFIN IS Equity,353.0,1.6997545672374488,4.192535984925478,0.011876872478542431,0.7835464340290539,-0.10147083126755896,10.113314447592067,0.2804532577903683,4.360986465437495,-0.20118264693061405,0.9782063645130179,-0.10147083126755896,0.9782063645130181,16.0
BPCL IS Equity,568.0,1.2736764157346123,2.9513330332577006,0.0051960088613691915,0.3832086450540315,-0.13469387755102047,11.024647887323944,0.32922535211267606,2.595030558261429,-0.2468765617191404,0.5104212860310422,-0.13871089332830766,0.5104212860310422,13.0
CIPLA IS Equity,589.0,1.1011641760650224,0.8873153720930825,0.001506477711533247,0.44633877100453834,-0.10241374607936726,10.371816638370118,0.29711375212224106,2.605039822233824,-0.14325177584846083,0.493192689807433,-0.10241374607936726,0.49319268980743325,14.0
COAL IS Equity,304.0,0.7202267597527788,-1.359670679344955,-0.004472600918897878,0.18794326241134762,-0.09268719894905852,9.769736842105264,0.27960526315789475,1.855643063363042,-0.11232174331036704,0.22301024428684013,-0.09268719894905841,0.30256930358350265,12.0
DIVI IS Equity,479.0,1.4491559237043317,3.563810043865385,0.007440104475710615,0.8338709677419356,-0.13468357883251503,10.532359081419624,0.29436325678496866,3.473863136255774,-0.19755897046733684,0.8435483870967746,-0.13468357883251503,0.8435483870967746,12.0
DRRD IS Equity,554.0,0.9342524335803103,-0.6445163249925608,-0.0011633868682176189,0.33499516711604005,-0.4932384419446175,11.027075812274369,0.3231046931407942,1.9572327519140578,-0.5010655702415294,0.38116176810923386,-0.49323844194461763,0.39098234184810554,16.0
EIM IS Equity,568.0,1.2581612319904016,2.94137150831483,0.0051784709653430105,0.9753086419753085,-0.14174757281553396,10.517605633802816,0.301056338028169,2.9209942052642655,-0.17079207920792072,1.1522633744855963,-0.14174757281553396,1.1522633744855963,16.0
GAIL IS Equity,607.0,0.9255334029374616,-0.8138215542241646,-0.0013407274369426105,0.40127776087617906,-0.15444711538461542,10.375617792421746,0.2800658978583196,2.3791652769627687,-0.21702944942381552,0.7006388804380894,-0.15444711538461542,0.7037488570557755,16.0
GRASIM IS Equity,549.0,1.4543401265477436,3.8755797336643316,0.00705934377716636,0.4139194139194139,-0.10379008746355678,11.156648451730419,0.3151183970856102,3.1608779629014547,-0.15180949396835342,0.5068681318681318,-0.10379008746355689,0.5123449053766136,15.0
HCLT IS Equity,630.0,0.7702245052020075,-3.0949026367505397,-0.004912543867857999,0.6976377952755908,-0.20453224869262066,9.884126984126985,0.273015873015873,2.0509466475727876,-0.27348837209302335,0.8414698162729657,-0.20453224869262088,0.9013550135501356,14.0
HDFC IS Equity,662.0,0.5718030036347579,-5.562805564018811,-0.008403029552898506,0.3262418891607276,-0.18017476952644063,9.305135951661631,0.24924471299093656,1.7223399564028767,-0.18516056997022534,0.35960004254866507,-0.18017476952644063,0.37540083934143986,13.0
HDFCB IS Equity,611.0,1.0050337024954048,0.04233653485907951,6.929056441747875e-05,0.3119353955652888,-0.12659123055162658,9.972176759410802,0.281505728314239,2.565173229043504,-0.17761033369214208,0.41261864879955334,-0.12659123055162658,0.5240963855421685,18.0
HDFCLIFE IS Equity,86.0,1.1356124232259217,0.15890426753009534,0.0018477240410476202,0.20341585108424476,-0.0695056748897851,10.662790697674419,0.36046511627906974,2.0147962347556674,-0.19502164502164498,0.3387423935091278,-0.0695056748897851,0.3387423935091278,15.0
HMCL IS Equity,596.0,0.8827450397142211,-1.2220831625571573,-0.0020504751049616734,0.34060092269501907,-0.11881408827463213,10.570469798657719,0.2986577181208054,2.0729630707895756,-0.18494474070639155,0.43322170440973284,-0.14936462045317,0.4332217044097326,13.0
HNDL IS Equity,558.0,1.3284656292511365,3.5701687475720814,0.006398151877369322,0.48382004735595885,-0.12517193947730387,11.270609318996415,0.3333333333333333,2.656931258502273,-0.16846526655896588,0.6496097137901127,-0.13006266238728403,0.6496097137901127,14.0
