Dates,Open,High,Low,Close,Volume
2004-08-24,305,340,253.25,260.2,6633956
2004-08-25,262,264.7,249.2,255.55,2794161
2004-08-26,257.75,272.5,256,270.7,2340926
2004-08-27,272,272.55,260.65,262.25,915106
2004-08-30,263.7,269,262.05,266.1,387417
2004-08-31,266.8,267.8,264.3,266.2,261123
2004-09-01,267,273.45,265,267.2,311985
2004-09-02,267.85,269.5,260,262.2,205537
2004-09-03,262.2,264.9,257.5,262.65,303156
2004-09-06,263.5,267.85,263,265.3,74691
2004-09-07,264,265.8,263.55,264.85,128275
2004-09-08,266,266,262.6,263.45,95094
2004-09-09,264.5,265,254.8,256,229786
2004-09-10,256.9,264.4,254.35,258.6,313469
2004-09-13,256,262.15,256,260.65,100186
2004-09-14,261,263.5,259,261.1,87282
2004-09-15,262.7,266.95,261.5,263.9,179209
2004-09-16,264,266.7,261,265.6,113885
2004-09-17,267,274.45,266.1,271,193931
2004-09-20,272,283,272,277.35,447036
2004-09-21,280,281.8,275,276.3,317565
2004-09-22,281.5,281.95,275.05,279.25,142156
2004-09-23,273,279,268.8,269.9,71981
2004-09-24,269.5,273,267.1,270.8,64135
2004-09-27,271.5,273.9,269.3,272.8,43976
2004-09-28,272.8,272.8,263.6,265.7,116744
2004-09-29,266.9,267.5,262.65,264.45,84483
2004-09-30,266.4,268.75,264.95,266.05,45563
2004-10-01,266,268,264,265.25,59466
2004-10-04,268.8,270.9,263,269.05,173799
2004-10-05,269,271,264,265.25,74731
2004-10-06,266.5,298.9,266.5,295,1072401
2004-10-07,295,354,294,316.45,2122276
2004-10-08,318.1,331.35,316.45,320.4,599337
2004-10-09,321.4,322,314,315.65,90585
2004-10-11,315,318.6,301.25,304.7,121262
2004-10-12,307,311,298.1,300.15,146878
2004-10-14,303.7,303.7,286.55,289.1,89146
2004-10-15,294.8,299.8,288,290.7,115264
2004-10-18,293.9,295,285,286.8,59350
2004-10-19,291.4,291.4,282.6,285.6,72458
2004-10-20,288.4,292.3,285.5,286.55,95374
2004-10-21,288.4,296.5,285,292.25,81976
2004-10-25,295.5,305.3,284.6,286.35,215408
2004-10-26,289.9,294.8,281.55,289.5,105215
2004-10-27,285,313.9,285,299.15,656655
2004-10-28,301,311,297,306.6,326585
2004-10-29,302.2,306.75,301,303.25,76737
2004-11-01,305,305,289,301.3,190801
2004-11-02,306,310,302,306.9,109175
2004-11-03,307.5,310,303,305.15,93238
2004-11-04,308.8,308.8,299,300,32815
2004-11-05,303,303,290,292.35,61849
2004-11-08,297.4,302,290.25,292.5,80765
2004-11-09,296.4,300,293.3,295.55,48772
2004-11-10,298,298.8,291.5,292.5,107489
2004-11-11,293.6,296.4,286.55,287.95,131265
2004-11-12,292.9,293.4,289.15,291.5,29798
2004-11-16,293.65,294.95,289,294.05,48466
2004-11-17,296,296,283,283.85,222899
2004-11-18,285,288.75,283.1,284.3,95728
2004-11-19,286.7,287,280.5,282.15,116142
2004-11-22,283,284,278.3,278.9,112962
2004-11-23,285,285,276,277.7,193928
2004-11-24,281.8,287,280.4,285.45,345777
2004-11-25,294.6,299.85,289.5,294.8,397748
2004-11-29,295,299.8,295,297.6,146544
2004-11-30,298.95,298.95,294,295.2,172784
2004-12-01,296,297.85,295,295.55,85290
2004-12-02,297,305,296,302.35,317401
2004-12-03,305.55,306.6,295,295.75,339368
2004-12-06,297.05,298,293.25,294.3,200821
2004-12-07,295,304.65,295,302.25,288631
2004-12-08,302,304.9,297,300.15,201937
2004-12-09,302.6,302.6,297,298.7,143942
2004-12-10,300,304.45,295,300.65,318295
2004-12-13,303,305,300.65,301.95,43952
2004-12-14,303,310.75,302.65,305.95,141686
2004-12-15,308.45,308.5,304,305.5,62276
2004-12-16,306,310.9,302,309.3,137963
2004-12-17,308.05,312.95,302.2,305.15,195396
2004-12-20,310,314.4,310,312.4,212500
2004-12-21,316.45,324.9,314.2,316.55,78287
2004-12-22,316.05,318.9,305,307.65,89638
2004-12-23,305,310,304.25,308.6,79870
2004-12-24,312,317,308,315.55,121155
2004-12-27,318,334.2,306.05,326.55,171748
2004-12-28,321.05,333.9,321.05,326.85,97057
2004-12-29,334,334,319.1,327.2,98486
2004-12-30,329.5,351.8,328.5,338.2,222632
2004-12-31,340.05,349.5,336,340.45,86142
2005-01-03,344,348,335,338.15,73470
2005-01-04,342.9,359.9,339.5,343.1,240543
2005-01-05,345,355,323.85,333.5,230742
2005-01-06,337,341.95,326,338.25,121746
2005-01-07,350,350,331.55,333.65,76718
2005-01-10,338.9,351.4,334.2,339.7,238665
2005-01-11,343,343,318.5,324.65,161462
2005-01-12,325,334.95,318.1,320.1,79473
2005-01-13,330,330,316.05,318.7,157844
2005-01-14,328,333,320,328.15,453968
2005-01-17,329.5,337.7,322.6,324.75,426020
2005-01-18,327,328.95,320.65,323.55,109156
2005-01-19,327.95,327.95,321.55,323.5,71306
2005-01-20,325,338.85,325,333.45,448669
2005-01-24,335,339.8,323.05,328.5,215699
2005-01-25,330,334,300.15,321.45,158479
2005-01-27,313,328,308,325.05,222826
2005-01-28,325.5,361,325,351.5,569873
2005-01-31,351.5,354.4,340.4,343.75,140961
2005-02-01,345,366.9,337.35,361.25,269465
2005-02-02,360,362.25,348.4,351.95,157466
2005-02-03,359.4,382,356.35,379.35,399811
2005-02-04,383,391.9,374,382.75,225957
2005-02-07,385.9,390,370,372.55,104917
2005-02-08,350.1,383,350.1,371.7,141700
2005-02-09,375,382.8,370,370.7,196371
2005-02-10,374.7,382.5,372.6,374.1,87114
2005-02-11,379.6,380,369,372.95,68198
2005-02-14,379.9,390,372,374.85,173535
2005-02-15,375,380,369,377.4,162469
2005-02-16,379.7,381.1,370,371.75,122367
2005-02-17,370.15,372,361.5,368.05,120041
2005-02-18,371,373.95,364,367.4,145325
2005-02-21,334.3,371.3,334.3,359.55,38600
2005-02-22,360,365.95,354.5,359.9,97456
2005-02-23,360,369,357.2,362.85,65031
2005-02-24,365,367.95,361,361.5,37721
2005-02-25,366,372,361,364.55,245585
2005-02-28,367,376,367,373.6,76688
2005-03-01,375,377.95,363,364.6,235687
2005-03-02,367,373,361.95,365.45,91386
2005-03-03,362,370,354,363.65,123055
2005-03-04,364,369.9,360,364.45,72226
2005-03-07,364,368,360,364.2,140545
2005-03-08,366,366,359.2,360.15,88686
2005-03-09,360.15,384.2,360.15,374.2,228074
2005-03-10,378,382,373.7,379.9,234244
2005-03-11,381.5,393,376,387.65,259571
2005-03-14,384,384,373.05,374.55,64613
2005-03-15,375,378.9,370,370.5,44823
2005-03-16,372.5,376.9,365.1,367.8,63470
2005-03-17,365,373.75,364.15,368.1,51833
2005-03-18,367,376,360.65,372.7,99808
2005-03-21,377.85,377.85,360,361.35,51924
2005-03-22,367.4,367.4,360,364.8,46927
2005-03-23,360.2,367.9,358.6,361.05,35258
2005-03-24,362,362.5,350,351.65,33613
2005-03-28,355.05,357.85,345,346.1,23486
2005-03-29,351.9,351.9,338,340.55,45975
2005-03-30,342,351.5,340.35,348.45,69842
2005-03-31,352,357,352,354.75,30576
2005-04-01,354.35,356,349.05,353.75,134776
2005-04-04,379.7,379.7,353.2,356.1,53495
2005-04-05,359,359,342,344.95,65616
2005-04-06,352,356,345.1,353.2,48043
2005-04-07,354,364,354,357.75,186318
2005-04-08,363.4,363.4,350.5,353.2,182280
2005-04-11,352,355.5,350.25,353.25,14580
2005-04-12,355,364.45,352.65,360.2,88287
2005-04-13,364,370,363,366.45,54323
2005-04-15,361,372.95,360,370.2,255614
2005-04-18,365,379.65,351.25,372.75,106562
2005-04-19,376,377,360,360.65,26129
2005-04-20,360,364.4,355,360.75,29561
2005-04-21,358,367.9,358,364.7,13123
2005-04-22,367,370,358.2,360.55,28181
2005-04-25,365,365,354,354.9,44383
2005-04-26,356,358.8,345,346.6,50973
2005-04-27,345.05,349.65,340.05,341.05,50698
2005-04-28,345,345,335.8,337.65,17678
2005-04-29,340,342.95,331,334.15,20109
2005-05-02,336.95,339.45,331.1,333.35,9194
2005-05-03,334,335.95,328.05,330.05,16603
2005-05-04,329.5,359.8,327,353.6,66016
2005-05-05,357.1,366.9,350.05,358.25,92718
2005-05-06,355,368.3,355,364.7,65830
2005-05-09,364.9,365,357.1,358.9,13764
2005-05-10,358,362,355,356.6,70978
2005-05-11,355,357.5,347.1,348.45,37701
2005-05-12,347.5,359.9,347.5,357.15,58591
2005-05-13,358.75,360,348.1,351.1,54254
2005-05-16,354.5,355,340,343.35,71989
2005-05-17,346,346,334.15,336.1,73446
2005-05-18,334,334,325,327.35,149651
2005-05-19,330.8,334.7,323,327.9,122028
2005-05-20,327,330.45,325,325.55,28176
2005-05-23,331,331,316,318.2,85010
2005-05-24,321.5,327.65,315,319.45,122677
2005-05-25,322,326.8,320,324.7,23581
2005-05-26,328.5,329.5,325.05,326.3,27875
2005-05-27,327,334.5,327,329,65321
2005-05-30,330,332,319,320.1,45373
2005-05-31,320.1,328.45,319.5,325.55,27512
2005-06-01,327,328.25,323.05,323.7,15049
2005-06-02,323.1,327,316,316.8,48070
2005-06-03,317,321.8,317,319.6,22906
2005-06-04,335,335,319.15,319.85,11231
2005-06-06,332,332.85,295.4,315,94388
2005-06-07,315.1,324.05,315.1,316.1,34954
2005-06-08,320,321,316,317.95,44387
2005-06-09,322,330.35,316.55,329.55,161404
2005-06-10,330,330,320.05,321,27812
2005-06-13,322.75,350,317,318.55,21275
2005-06-14,320.75,326,317.3,322.45,60170
2005-06-15,324.95,338,321.85,328.65,81498
2005-06-16,325.1,330.6,322,323.65,53237
2005-06-17,324,324,318.05,319.95,34944
2005-06-20,321.1,339.9,321,324.95,397878
2005-06-21,325.05,333,320.3,330.75,41382
2005-06-22,329,334,325.35,331.6,152638
2005-06-23,330.05,343,328.1,339.65,278896
2005-06-24,332.1,344.85,332.1,340.55,65340
2005-06-27,339,341.8,336.5,339.3,236069
2005-06-28,338,340.95,336,338.1,260670
2005-06-29,339,349,338,343.7,193483
2005-06-30,348,359.45,345,353.7,451831
2005-07-01,353.7,364,347,356,111935
2005-07-04,355.1,359.65,353.2,355.15,92909
2005-07-05,355.1,357,348.95,351.4,112364
2005-07-06,353,367.8,352,357.95,170806
2005-07-07,359.9,372.9,354.05,359.45,167506
2005-07-08,359.1,368.25,355,365.25,67871
2005-07-11,364.5,372.45,362.5,370,109141
2005-07-12,370,415,370,379.3,192677
2005-07-13,384.95,412,381.5,386.1,324675
2005-07-14,389.85,390.5,372.55,379.15,99218
2005-07-15,376.5,383.25,369.55,375.85,98651
2005-07-18,374.5,379,367,371.35,50387
2005-07-19,370.05,377.9,366,370.15,219506
2005-07-20,373.1,376,364.05,367.4,78820
2005-07-21,370,370,360,361.4,25733
2005-07-22,366,366,360,362.5,45849
2005-07-25,394.8,394.8,370,388.85,402435
2005-07-26,393,397,378.05,382,141730
2005-07-27,383,396,375.5,390.9,101686
2005-07-29,392,392,380,381.6,51952
2005-08-01,388,389.4,370.05,379.4,169855
2005-08-02,386.5,392,381,390.75,125368
2005-08-03,396,399,390.3,393.3,120591
2005-08-04,395,398,391,396.7,184826
2005-08-05,399.9,410.8,384.05,388.3,317826
2005-08-08,382.25,395.9,381,382.55,53208
2005-08-09,382,390.8,380,384.4,69316
2005-08-10,389,397,386,393.85,92804
2005-08-11,402,419,399,401.75,293832
2005-08-12,409,420,403,418.15,276434
2005-08-16,421.1,424.8,414,416.15,74977
2005-08-17,416,419,412,415.95,91082
2005-08-18,417.3,422.45,410,416.05,106984
2005-08-19,419,432.9,415.3,417.85,150552
2005-08-22,420.45,426,412,414.25,86426
2005-08-23,414.5,414.9,401.8,405.7,88627
2005-08-24,405,411,385.3,391.85,161240
2005-08-25,390,414,390,408.35,271454
2005-08-26,415,430,415,424.45,233212
2005-08-29,428,434,420,425.25,129659
2005-08-30,433.8,442.4,429,431.55,185980
2005-08-31,434,448.8,432.05,438,176586
2005-09-01,440.15,445.5,435.05,438.3,93903
2005-09-02,440.5,444.7,435.15,437.6,90392
2005-09-05,440,444,429,433.95,64481
2005-09-06,435,438.7,425.2,428.25,53134
2005-09-08,434,443.5,433.5,437.7,53007
2005-09-09,441.5,441.5,425,432.35,30631
2005-09-12,437,442,430.25,433.95,70242
