Dates,Open,High,Low,Close,Volume
2017-09-29,700,700,700,700,0
2017-10-03,735,740,701.7,707.55,35367877
2017-10-04,710.15,710.75,699,703.65,3613280
2017-10-05,704.55,704.55,686.1,694.55,2680742
2017-10-06,693.9,702,689,696.75,1416485
2017-10-09,694.1,702.5,694.1,698.65,951473
2017-10-10,698.35,701.2,695.55,700,555002
2017-10-11,700,703,686,689.9,1077409
2017-10-12,691.1,694,685,687.7,439314
2017-10-13,688.95,695.05,680,689.7,1344510
2017-10-16,686,689.45,669,670.1,971834
2017-10-17,670.5,674,669,673.05,664335
2017-10-18,671,672.85,664.15,668.4,415712
2017-10-19,666.1,678.25,666.1,675.1,93358
2017-10-23,670,673.8,665,665.8,292330
2017-10-24,663.8,671.45,663,665.85,350373
2017-10-25,667,673.45,658.1,669.9,583868
2017-10-26,669.9,669.9,660.5,666.85,242175
2017-10-27,663.2,666.05,659,662.2,396395
2017-10-30,665,665,649.9,655,1164020
2017-10-31,655.8,669,655.8,662.1,1402840
2017-11-01,664,664.85,642.25,647.05,859011
2017-11-02,647.05,653.6,641.2,642.75,574130
2017-11-03,643.05,653.5,641.1,642.25,672547
2017-11-06,642.65,659.9,642.65,656.75,483071
2017-11-07,659,659,639.55,642.35,763293
2017-11-08,649,649,629,631.6,843603
2017-11-09,633,670.4,633,657.95,356798
2017-11-10,655.1,679.2,655.1,676.55,784443
2017-11-13,665,680.8,663,665,192279
2017-11-14,655.2,667.75,654,660,350594
2017-11-15,650.1,660.05,644.4,649.35,269314
2017-11-16,648.6,659.2,642.8,649.9,261879
2017-11-17,653,663.7,645.1,659.55,3200674
2017-11-20,657.3,665,656.5,661.45,712433
2017-11-21,660,696.4,660,687.45,2077453
2017-11-22,689,698.95,681.15,693.15,669175
2017-11-23,689,689,664,666.3,827451
2017-11-24,668,670.45,655,655.7,599114
2017-11-27,655.55,662.7,651.85,653.7,239417
2017-11-28,653,666.95,652,653.45,269211
2017-11-29,654.05,658.4,650.8,656.2,258606
2017-11-30,665.95,665.95,653.85,654.9,316178
2017-12-01,658,658,652.25,655.9,86648
2017-12-04,660,665.8,653.05,661.75,162592
2017-12-05,660,662.15,653.55,659.1,125688
2017-12-06,654.05,660,654.05,656.1,210799
2017-12-07,655.1,670,651,668.4,279051
2017-12-08,664.05,689.9,664.05,685.7,480717
2017-12-11,680,682.75,671.05,674.75,122163
2017-12-12,671.05,682,671,676.05,121938
2017-12-13,671.05,682,657,675.35,260250
2017-12-14,675.1,683,673.3,679.9,444539
2017-12-15,680.5,691,678,689,351667
2017-12-18,681.45,694,665,692.15,259324
2017-12-19,688.1,699.9,688.1,697.3,343970
2017-12-20,692.15,703.75,692.15,697.15,531872
2017-12-21,693.3,704.4,693.3,701.8,259491
2017-12-22,694,703.9,694,702.85,390144
2017-12-26,702.75,707.8,697.2,701.7,272983
2017-12-27,700,702,695.1,700.45,163978
2017-12-28,697,703,690.55,698.9,269410
2017-12-29,695.45,705.4,693,695.35,667407
2018-01-01,694,703,694,699.5,174646
2018-01-02,699.5,700.15,680.1,685.1,342012
2018-01-03,685.05,695,680.25,690.5,125483
2018-01-04,694.6,702.2,690,701.6,411800
2018-01-05,700,704.9,699,701.95,195946
2018-01-08,692,706.9,692,704.15,310252
2018-01-09,700.15,719.95,700.15,717.25,605429
2018-01-10,714.85,715,706.1,711.6,297500
2018-01-11,707,714.7,699,703.8,113144
2018-01-12,703.8,709,700,701.75,93456
2018-01-15,701.5,724.6,701.5,716.75,764541
2018-01-16,716,716,696,700.85,338329
2018-01-17,696,714.8,691.65,705.25,232397
2018-01-18,706.6,712,700.1,707.8,323715
2018-01-19,705.05,713.95,701.45,711.5,293534
2018-01-22,704.1,717,701.85,714.65,464739
2018-01-23,710,722,710,716.9,399677
2018-01-24,711.2,714.3,698,702.6,200051
2018-01-25,702.5,707,661.15,682.05,424803
2018-01-29,682,689.45,680,681.85,143914
2018-01-30,681.7,681.7,663.3,667.9,339031
2018-01-31,670,681.5,653.75,660.65,324432
2018-02-01,665,722,660.5,708.7,1539000
2018-02-02,708.4,733.25,691.1,718.3,1772440
2018-02-05,716.45,716.45,690,695.05,352909
2018-02-06,670,705,665,695.25,399206
2018-02-07,700.05,715,700.05,713.7,315230
2018-02-08,717.1,720,711.05,715,159852
2018-02-09,700,717.65,699,709.9,159318
2018-02-12,709,718,681.5,685.8,689547
2018-02-14,689,695,679.5,682.25,312807
2018-02-15,685,695,673.2,682.4,282049
2018-02-16,688,694.55,685.65,689.25,226925
2018-02-19,700,705,678.6,685.25,423633
2018-02-20,687,690,670,674.65,172882
2018-02-21,680,682.95,662.45,675.5,428939
2018-02-22,675,675.4,664,666.2,235890
2018-02-23,670,679.75,666.15,675.7,288608
2018-02-26,680,689.75,674.25,682.2,271771
2018-02-27,681.5,690.8,676,689.45,219932
2018-02-28,689.4,698.7,682.1,694.5,360647
2018-03-01,695.9,696,686,690,272512
2018-03-05,689,689,666,672.55,301455
2018-03-06,678,682.1,651,655.05,245988
2018-03-07,657,659.95,650.05,652.6,192215
2018-03-08,653.6,659.45,647,653.3,113706
2018-03-09,657.5,674.4,650.55,670.3,483527
2018-03-12,670.2,689.9,668.8,678.55,163349
2018-03-13,677,685,672,677.5,73256
2018-03-14,673,683.5,667.5,674.15,305570
2018-03-15,672.5,676.75,671.05,675,140732
2018-03-16,675,677.35,666,668.45,150189
2018-03-19,666.45,681.8,666.45,674.1,138766
2018-03-20,669,688.5,668.4,686.6,167488
2018-03-21,686.1,691,670.55,672.9,395902
2018-03-22,675,679,662.05,664.9,147381
2018-03-23,660.05,673.9,658,664.5,225060
2018-03-26,660.15,669.45,659,663.1,186540
2018-03-27,667,680.8,666.05,672.95,369173
2018-03-28,668.95,711,664,678.25,446572
2018-04-02,681,695,681,683.9,263227
2018-04-03,686,686,675,680,783770
2018-04-04,681.05,690.95,677.1,679.95,520436
2018-04-05,680.5,687.65,674.15,675,514819
2018-04-06,679.65,685,674,679.65,667025
2018-04-09,675.55,685,675,678.7,886583
2018-04-10,678,699.95,678,695.7,955511
2018-04-11,691,720,691,719,715637
2018-04-12,713.55,724.7,712,719.05,665026
2018-04-13,714,720,706.35,711.65,681889
2018-04-16,702,712.5,702,708.9,389870
2018-04-17,710,723,708.2,721.4,307669
2018-04-18,715.9,724.5,713.05,721.35,241773
2018-04-19,716.05,724.95,713.9,722.9,228583
2018-04-20,718,721.95,710.1,716.15,114992
2018-04-23,712.1,725,712.1,716.95,523622
2018-04-24,717,755,714.95,746,1182526
2018-04-25,749.9,768.8,746.05,766.1,1763048
2018-04-26,767,771.05,742.65,762.8,1352072
2018-04-27,750,774.6,745,758.85,700854
2018-04-30,756,762.85,732,743.1,448784
2018-05-02,736.5,757.65,736.5,746.55,514382
2018-05-03,746.55,752.05,716.25,732,259083
2018-05-04,725,728.95,700.1,702.1,405214
2018-05-07,704,714.6,696.3,703.6,291749
2018-05-08,708.9,708.9,692.25,702.45,256284
2018-05-09,704.9,709,691,699.95,1771037
2018-05-10,702.9,719,693,713.75,589720
2018-05-11,711.05,715.9,696.05,698.3,402458
2018-05-14,702,704.55,688,691.15,226655
2018-05-15,690,699,672.2,678.9,579274
2018-05-16,674,683,665.05,667.65,632333
2018-05-17,670.1,679.7,665.5,669.7,203078
2018-05-18,669,673.7,663.05,665.2,224549
