Dates,Open,High,Low,Close,Volume
2007-11-26,88,88,88,88,0
2007-11-27,154,210,154,192.58,136471830
2007-11-28,196.8,198,174.8,178.78,22906690
2007-11-29,181.8,182.95,168.2,176.84,25620605
2007-11-30,178,191.6,178,184.31,23048810
2007-12-03,187.95,199,184.4,193.86,14887350
2007-12-04,197,211.2,195.2,208.29,24246250
2007-12-05,212.2,219.9,210,216.49,14241045
2007-12-06,217.8,221.94,210.2,216.26,8747580
2007-12-07,220,226.8,215.6,220.48,11239520
2007-12-10,222,222,212.22,215.08,5061750
2007-12-11,216.2,217.8,208.2,209.53,4052320
2007-12-12,206.4,213,203.2,207.36,3723995
2007-12-13,208,230,206.05,225.99,15338435
2007-12-14,227.98,228,220.22,222.1,5353685
2007-12-17,228,233.6,204.3,208.85,7024775
2007-12-18,209,221.98,206.31,214.99,6134920
2007-12-19,218.2,223.2,209.26,213.38,4228330
2007-12-20,216.7,216.7,210.2,212.04,3116440
2007-12-24,219,238.4,217.05,231.36,10304460
2007-12-26,235,242.8,229.6,239.98,7335155
2007-12-27,243,248,240.8,242.33,4887475
2007-12-28,237.88,254.8,235,249.82,5820690
2007-12-31,252.67,259,252.2,253.76,3686245
2008-01-01,255.8,263.8,252.74,259.37,2456740
2008-01-02,262.05,264.8,254,261.49,3519075
2008-01-03,261,262.94,252.23,255.16,2525290
2008-01-04,255.76,258.96,246.6,248.07,2753975
2008-01-07,248,255.78,243,245.45,3154815
2008-01-08,248,251,237,240.96,2652495
2008-01-09,240,242,230.2,236.05,3137535
2008-01-10,237,239.96,222,224.31,2194030
2008-01-11,225.6,226,212.6,217.17,3084690
2008-01-14,216.48,216.48,206.22,207.03,4179580
2008-01-15,209.12,215.74,207.21,209.91,4152465
2008-01-16,209.2,212.8,200,206.08,4080940
2008-01-17,210,210.7,202.2,204.18,1680015
2008-01-18,202,214.4,194.98,198.92,3384270
2008-01-21,199,201,159.14,165.01,3943115
2008-01-22,140,162,132.01,147.11,2730805
2008-01-23,152,176.38,152,171.4,2677310
2008-01-24,175,187,162.4,162.83,2555085
2008-01-25,164,176.6,164,173.14,2020225
2008-01-28,167,167,156.64,164.16,2335260
2008-01-29,168,172,164.01,168.15,1100350
2008-01-30,169.96,172.8,164.45,166.09,1430950
2008-01-31,166.2,169.98,162.51,167.53,971500
2008-02-01,166.33,170.46,164,165.07,1021955
2008-02-04,169.58,174.48,168,171.22,1401150
2008-02-05,171.2,171.4,166,166.86,810465
2008-02-06,160.6,164.98,156,161.5,966300
2008-02-07,165,166,158.4,159.25,1064660
2008-02-08,162,166,153.03,156.81,1425125
2008-02-11,157,157,139,142.24,1119775
