Dates,Open,High,Low,Close,Volume
2000-01-03,33.71,33.87,32.71,33.23,209280
2000-01-04,33.1,33.1,30.58,30.84,547680
2000-01-05,29.13,32.04,29.13,29.96,3660912
2000-01-06,30.13,31.96,30.13,31.65,1429296
2000-01-07,30.71,32.46,30.46,31.61,1036488
2000-01-10,31.63,32.83,31.63,32.04,1253616
2000-01-11,32.04,32.04,30.46,31.03,410688
2000-01-12,31.63,31.79,31.21,31.46,138792
2000-01-13,31.63,31.63,31.04,31.29,55128
2000-01-14,31.46,31.79,31.04,31.16,452544
2000-01-17,31.54,31.54,30.96,31.28,3204912
2000-01-18,31.21,32.62,31.05,31.69,947544
2000-01-19,31.74,32.44,31.21,31.36,986760
2000-01-20,31.29,31.46,30.71,30.89,617760
2000-01-21,31,31,30.54,30.74,143040
2000-01-24,32.04,32.04,29.3,29.56,144840
2000-01-25,29.13,29.96,28.71,29.01,1257504
2000-01-27,29.55,31.33,29.13,30.45,3257688
2000-01-28,28.08,32.66,28.08,31.23,1918440
2000-01-31,30.79,32.04,30.79,31.81,747624
2000-02-01,31.63,32.46,31.29,31.54,1454880
2000-02-02,31.96,34.04,31.83,33.32,4047744
2000-02-03,33.29,33.71,30.65,31.78,2237952
2000-02-04,32.71,32.71,30.57,30.87,598416
2000-02-07,32.04,32.04,29.98,30.66,182352
2000-02-08,30.77,30.79,28.36,29.45,822312
2000-02-09,30.71,31.8,29.3,31.69,3159816
2000-02-10,30.67,31.17,29.15,29.15,920208
2000-02-11,29.95,29.96,26.82,27.27,597600
2000-02-14,27.38,29.45,26.63,29.3,1243560
2000-02-15,31.46,31.46,26.97,27.71,639072
2000-02-16,28.13,28.55,27.05,27.47,396480
2000-02-17,27.47,27.67,26.8,27.28,329280
2000-02-18,27.3,27.47,25.1,25.1,613872
2000-02-21,24.16,25.8,24.16,24.47,1031400
2000-02-22,24.47,24.47,22.51,22.51,2293128
2000-02-23,22.55,23.39,20.71,22.01,2671704
2000-02-24,21.64,22.72,21.31,22.48,604824
2000-02-25,22.64,22.89,22.33,22.48,961008
2000-02-28,23.26,24.27,22.39,24.27,428328
2000-02-29,26.13,26.21,22.48,22.83,919488
2000-03-01,24.34,24.34,22.89,22.97,650640
2000-03-02,22.89,24.13,21.14,21.41,621240
2000-03-03,21.22,21.22,19.98,20.76,822552
2000-03-06,20.77,20.89,19.1,19.1,1099152
2000-03-07,18.81,19.55,17.57,17.57,317712
2000-03-08,16.48,17.3,16.23,16.3,861720
2000-03-09,16.48,16.98,15.4,16.47,2550264
2000-03-10,16.47,17.05,16.09,16.53,1955280
2000-03-13,16.55,17.06,16.23,16.55,774288
2000-03-14,16.56,17.83,16.4,17.72,658152
2000-03-15,18.1,19.13,17.82,18.61,4506456
2000-03-16,18.73,18.89,17.89,18.56,242064
2000-03-21,18.64,20.04,18.31,20.01,775536
2000-03-22,19.97,21.47,19.89,21.26,939720
2000-03-23,19.9,22.1,19.9,21.82,502824
2000-03-24,21.14,21.65,20.08,20.41,647280
2000-03-27,19.81,20.81,18.78,18.8,265248
2000-03-28,19.06,20.3,18.31,20.3,303264
2000-03-29,21.64,21.93,21.26,21.82,762984
2000-03-30,21.22,21.31,20.42,20.97,1514664
2000-03-31,20.89,22.31,20.39,21.68,424440
2000-04-03,22.22,23.42,21.99,23.42,325920
2000-04-04,22.89,23.12,21.9,22.35,1113336
2000-04-05,22.15,22.46,20.82,21.58,406680
2000-04-06,21.64,21.64,20.07,21.2,366504
2000-04-07,21.64,22.89,21.64,22.69,469440
2000-04-10,22.89,23.14,22.22,22.36,408072
2000-04-11,21.64,22.64,21.26,22.34,443136
2000-04-12,22.23,22.47,21.64,21.77,255720
2000-04-13,20.81,22.47,20.64,21.68,750144
2000-04-17,20,21.64,20,20.59,440880
2000-04-18,20.81,20.81,19.77,19.96,642192
2000-04-19,21.14,21.14,18.36,18.53,1570824
2000-04-20,18.48,18.48,17.06,17.42,2334840
2000-04-24,17.48,17.48,16.98,17.06,1150968
2000-04-25,16.9,16.9,16.15,16.35,2860704
2000-04-26,16.83,16.83,16.31,16.42,2797992
2000-04-27,16.63,16.94,15.26,15.87,1148928
2000-04-28,15.73,15.81,14.6,14.6,1858704
2000-05-02,14.81,14.81,12.85,12.87,1856784
2000-05-03,12.36,14.32,12.36,13.55,2768904
2000-05-04,13.73,14.29,13.31,14.05,2108016
2000-05-05,14.07,14.07,13.16,13.44,4114656
2000-05-08,13.33,13.69,12.91,13,1428408
2000-05-09,12.86,13.32,12.59,13.23,1166568
2000-05-10,13.48,13.69,13.19,13.47,1676472
2000-05-11,13.52,13.52,13.15,13.29,14694888
2000-05-12,13.09,13.32,12.92,13.11,6641352
2000-05-15,12.94,13.23,12.73,12.81,10385616
2000-05-16,13.03,13.48,12.9,13.33,681600
2000-05-17,14.15,14.9,13.67,14.26,2754456
2000-05-18,14.32,15.98,13.99,15.98,3174936
2000-05-19,16.06,16.46,14.32,15.16,6805344
2000-05-22,14.57,15.56,14.57,15.48,1139136
2000-05-23,15.19,16.15,15.06,15.74,1017048
2000-05-24,15.81,17.63,15.81,17.63,1888704
2000-05-25,17.98,19.75,17.56,19.11,3355968
2000-05-26,18.98,20.47,18.64,20.01,3556176
2000-05-29,20.31,20.64,19.64,20,1842120
2000-05-30,19.97,19.97,18.53,19.11,6373800
2000-05-31,19.14,19.14,16.9,17.1,2164584
2000-06-01,16.32,16.4,15.04,15.07,6423744
2000-06-02,15.15,15.72,15.06,15.22,3885768
2000-06-05,15.38,17.05,15.38,16.26,4261632
2000-06-06,16.02,16.43,15.73,16.25,1038864
2000-06-07,16.56,17.56,17.29,17.29,2757648
2000-06-08,17.39,18.31,17.15,17.91,1429032
2000-06-09,18.14,18.14,17.59,18.05,1130424
2000-06-12,18.06,18.09,17.15,17.84,941712
2000-06-13,18.14,18.37,17.56,18.19,1107576
2000-06-14,18.31,18.64,17.99,18.08,385488
2000-06-15,17.74,17.89,17.49,17.66,250248
2000-06-16,17.33,17.93,17.33,17.77,507336
2000-06-19,17.77,18.31,17.73,17.99,414096
2000-06-20,17.77,18.39,17.77,18.08,543600
2000-06-21,18.3,18.81,17.91,18.19,1321608
2000-06-22,18.2,18.63,18.06,18.16,272160
2000-06-23,18.31,18.52,17.66,17.66,735408
2000-06-26,17.15,17.23,15.94,16.24,4932048
2000-06-27,15.66,16.56,15.66,16.18,702720
2000-06-28,16.17,16.33,15.83,16.23,851160
2000-06-29,15.91,17.15,15.81,16.5,607704
2000-06-30,16.4,16.52,15.94,16.01,613104
2000-07-03,16.38,16.64,16.09,16.2,384192
2000-07-04,16.23,16.3,15.98,16.2,1271112
2000-07-05,16.4,16.91,16.39,16.83,1103496
2000-07-06,17.48,17.48,16.49,16.55,1117032
2000-07-07,16.64,16.9,16.52,16.85,363888
2000-07-10,16.98,17.48,16.98,17.34,886008
2000-07-11,17.44,20.06,17.32,19.6,1692768
2000-07-12,20.22,20.22,18.66,18.66,1478064
2000-07-13,18.89,18.89,18.39,18.52,377520
2000-07-14,18.39,18.89,18.31,18.63,488880
2000-07-17,18.49,19.27,18.49,18.75,489528
2000-07-18,18.68,18.68,17.82,18.05,1331760
2000-07-19,17.46,17.98,16.9,16.96,2008848
2000-07-20,16.73,17.15,16.48,16.57,3372696
2000-07-21,16.73,16.93,16.56,16.61,3087192
2000-07-24,15.23,15.37,14.36,14.86,4834152
2000-07-25,14.52,15.76,14.37,15.46,3862944
2000-07-26,16.21,16.21,15.28,15.76,3020496
2000-07-27,15.66,15.74,15.12,15.16,2318136
2000-07-28,15.25,15.31,14.82,15.08,2493600
2000-07-31,14.99,15.31,14.82,15.06,697944
2000-08-01,14.24,15.02,14.16,14.74,1560000
2000-08-02,14.82,15.07,14.66,14.88,514896
2000-08-03,14.34,15.01,14.34,14.92,532800
2000-08-04,14.99,14.99,14.66,14.84,891672
2000-08-07,14.59,15.32,14.59,15.06,1198512
2000-08-08,15.16,15.38,14.99,15.27,1591464
2000-08-09,15.82,15.82,14.7,14.7,2228616
2000-08-10,14.9,14.9,13.82,14.1,2978352
2000-08-11,13.99,14.15,13.29,13.39,2781264
2000-08-14,13.47,13.62,13.24,13.46,1465056
2000-08-16,13.67,13.74,13.41,13.52,1008672
2000-08-17,13.57,14.41,13.43,13.85,3786288
2000-08-18,13.97,13.99,13.62,13.77,936360
2000-08-21,13.91,14.07,13.76,13.96,1022400
2000-08-22,13.91,14.04,13.74,13.82,1327128
2000-08-23,13.75,14.47,13.73,13.93,430032
2000-08-24,13.66,14.05,13.99,13.99,186648
2000-08-25,14.07,14.08,13.91,13.97,477792
2000-08-28,13.59,14.03,13.58,14,439920
2000-08-29,14.41,14.41,13.83,13.99,570456
2000-08-30,14.24,14.65,14.35,14.35,1083768
2000-08-31,14.37,14.87,14.04,14.66,1562256
2000-09-04,14.78,14.99,14.59,14.71,760272
2000-09-05,15,15.82,14.91,15.54,1581432
2000-09-06,15.74,15.82,15.24,15.42,751104
2000-09-07,15.2,15.48,14.95,15.06,813144
2000-09-08,15.2,15.2,14.9,14.9,758808
2000-09-11,14.49,15.16,14.49,14.9,635592
2000-09-12,14.85,15.31,14.85,14.99,675504
2000-09-13,15.31,15.53,15.29,15.29,552696
2000-09-14,15.49,15.82,15.26,15.49,1278864
2000-09-15,15.57,15.58,14.59,14.96,2160216
2000-09-18,14.66,14.91,14.07,14.44,1983408
2000-09-19,14.16,14.53,13.77,13.77,2621088
2000-09-20,14.16,14.74,14.04,14.37,601752
2000-09-21,14.57,15.99,14.57,15.15,4295664
2000-09-22,15.41,15.56,14.76,14.93,3466248
2000-09-25,15.24,15.66,14.82,15.09,1060464
2000-09-26,15.32,15.32,14.66,14.74,2336832
2000-09-27,14.99,15.47,14.87,15.41,1538544
2000-09-28,15.57,15.99,14.91,14.96,3529752
2000-09-29,15.59,15.65,12.76,13.6,10558536
2000-10-03,13.07,13.57,12.57,13.18,5102040
2000-10-04,13.57,13.57,13.2,13.32,2845392
2000-10-05,13.32,13.4,13.1,13.15,1553352
