Dates,Open,High,Low,Close,Volume
2004-08-24,106.25,106.25,106.25,106.25,0
2004-08-25,149.84,149.84,122.37,123.49,273861952
2004-08-26,124,124.62,121.91,122.37,80886400
2004-08-27,122.8,122.8,119.82,120.33,61292000
2004-08-30,121.24,123.75,120.62,123.34,48930416
2004-08-31,123.31,123.75,122,123.51,42389312
2004-09-01,123.75,124.37,122.95,123.49,39871088
2004-09-02,123.74,125.57,123.25,124.2,42712704
2004-09-03,125.75,137.5,123.79,124.73,19739712
2004-09-06,129.99,129.99,124.11,124.35,18077344
2004-09-07,129.37,129.37,124.37,124.45,11544464
2004-09-08,124.5,125.1,123.89,124.21,13187968
2004-09-09,124.62,124.74,122.3,122.49,15894368
2004-09-10,123.75,123.75,122,123.6,12830144
2004-09-13,123.87,126.94,123.87,125.44,41809824
2004-09-14,125.62,127.35,125.37,126.95,30670944
2004-09-15,127.25,127.5,125.15,125.76,23976576
2004-09-16,125.87,126.87,125.31,126.05,14716448
2004-09-17,126.5,128.74,126.29,128.06,29255792
2004-09-20,129.05,129.61,127.52,127.86,17104448
2004-09-21,128.1,131.06,127.75,130.72,27794160
2004-09-22,131.05,132,129.64,131.5,30743168
2004-09-23,131,131.12,128.37,128.78,31639360
2004-09-24,128.64,130,128.25,128.6,16166416
2004-09-27,128.44,129.06,126.87,127.59,16459024
2004-09-28,127,128.42,126.56,126.94,12678832
2004-09-29,127.4,129.12,127.02,128.87,23474352
2004-09-30,129.45,130.11,127.58,128.39,25042864
2004-10-01,128.62,132.05,128.29,130.96,21937776
2004-10-04,132.12,135.12,131.8,134.56,30259648
2004-10-05,135.04,136.12,134.44,135.09,28682576
2004-10-06,135.12,137.85,134.38,135.2,35341328
2004-10-07,135.37,137.5,135.37,137.14,20160256
2004-10-08,137.25,138.87,136.87,137.25,17117840
2004-10-09,137.49,137.98,136.78,137.58,4136624
2004-10-11,137.5,138.94,135.62,136.16,18664112
2004-10-12,138.75,139.37,134.7,135.55,31201024
2004-10-14,137.87,140.5,136,139.52,38451968
2004-10-15,140.21,142.62,139.65,140.75,35599488
2004-10-18,141.75,142.75,140.65,142.15,27386688
2004-10-19,142.52,143.59,142.01,142.9,23534256
2004-10-20,143.1,143.74,141.12,141.65,14413664
2004-10-21,142.15,142.37,140.25,140.69,12827040
2004-10-25,140.62,140.87,138.84,139.67,18780544
2004-10-26,139.45,142.62,139.45,142.15,13865520
2004-10-27,142.78,143.5,141.9,142.49,15675312
2004-10-28,143.12,146.85,143.12,145.74,37182832
2004-10-29,145.99,145.99,143.14,144.53,17323552
2004-11-01,143.75,146.8,142.79,146.33,12275136
2004-11-02,141.25,147.47,140.62,144.96,17728080
2004-11-03,145.12,148,145.12,146.9,17956272
2004-11-04,147.72,148.49,145.96,146.3,13111616
2004-11-05,146.74,147.5,145,145.68,10047696
2004-11-08,145.62,148.61,144.5,148.02,20583456
2004-11-09,148.37,149.74,147.12,148.55,14677424
2004-11-10,148.87,149.87,148.76,149.29,11468784
2004-11-11,149.87,150.42,148.89,149.53,10470256
2004-11-12,150.5,151,148.77,149.59,3626816
2004-11-16,149.75,149.75,148,148.86,8011008
2004-11-17,148.94,151.24,148.94,150.67,10935872
2004-11-18,151.18,154.32,150.81,153.87,14944256
2004-11-19,154.12,154.62,151.39,152.14,13625520
2004-11-22,150.97,153.25,149.37,152.8,9476544
2004-11-23,153.82,155.25,153.02,154.44,8625584
2004-11-24,154.87,155.62,153.77,154.24,6446608
2004-11-25,154.25,155.5,151.08,152.1,12621744
2004-11-29,152,155.96,150.69,155.49,10562976
2004-11-30,156.02,160.75,155.62,159.33,21016288
2004-12-01,160.12,160.12,157.12,157.69,16963728
2004-12-02,158.12,159.62,154.89,155.32,19315408
2004-12-03,156.15,156.99,152.69,154.59,19554432
2004-12-06,155,156.25,151.06,151.82,22947744
2004-12-07,152,154.11,151.87,152.28,15726448
