DD_number,DD_start_date,DD_end_date,Max_dd,Max_dd_date,DD_period,DD_recovery_period
79,2007-05-23,2007-05-29,-0.01792180000000028,2007-05-24,6 days,5 days
80,2007-05-30,2007-07-02,-0.04840140000000037,2007-06-13,33 days,19 days
81,2007-07-04,2007-07-06,-0.00022039999999990686,2007-07-05,2 days,1 days
82,2007-07-10,2007-07-12,-0.005289600000000093,2007-07-11,2 days,1 days
83,2007-07-17,2007-07-19,-0.003607600000000093,2007-07-17,2 days,2 days
84,2007-07-20,2007-07-23,-0.00027839999999990686,2007-07-20,3 days,3 days
85,2007-07-25,2007-07-26,-0.003839600000000093,2007-07-25,1 days,1 days
86,2007-07-27,2007-09-19,-0.1287938999999999,2007-08-21,54 days,29 days
87,2007-10-05,2007-10-09,-0.026848799999999815,2007-10-08,4 days,1 days
88,2007-10-12,2007-10-15,-0.020621700000000187,2007-10-12,3 days,3 days
89,2007-10-16,2007-10-26,-0.10179180000000028,2007-10-22,10 days,4 days
90,2007-10-30,2007-11-02,-0.0162635,2007-11-01,3 days,1 days
91,2007-11-05,2007-11-14,-0.05531370000000019,2007-11-09,9 days,5 days
92,2007-11-15,2007-12-05,-0.07152079999999982,2007-11-22,20 days,13 days
93,2007-12-06,2007-12-07,-0.0012556000000000932,2007-12-06,1 days,1 days
94,2007-12-10,2007-12-11,-0.002709,2007-12-10,1 days,1 days
95,2007-12-13,2008-01-02,-0.07064040000000037,2007-12-19,20 days,14 days
96,2008-01-03,2008-01-04,-0.006787800000000279,2008-01-03,1 days,1 days
97,2008-01-08,2008-10-10,-0.3773470499999998,2008-05-02,276 days,161 days
98,2008-10-13,2008-10-16,-0.05864860000000009,2008-10-13,3 days,3 days
99,2008-10-20,2008-10-22,-0.043345100000000095,2008-10-21,2 days,1 days
100,2008-10-28,2008-11-20,-0.2064438000000003,2008-11-04,23 days,16 days
101,2008-11-21,2009-03-09,-0.20030674999999953,2009-01-05,108 days,63 days
102,2009-03-12,2020-12-02,-0.8208507999999984,2020-12-01,4283 days,1 days
