Dates,PNL,%PNL,Equity,EOD Position,DD
2000-06-12,0.0,0.0,1000000.0,0.0,0.0
2000-06-13,0.0,0.0,1000000.0,0.0,0.0
2000-06-14,0.0,0.0,1000000.0,0.0,0.0
2000-06-15,0.0,0.0,1000000.0,0.0,0.0
2000-06-16,0.0,0.0,1000000.0,0.0,0.0
2000-06-19,0.0,0.0,1000000.0,0.0,0.0
2000-06-20,0.0,0.0,1000000.0,0.0,0.0
2000-06-21,0.0,0.0,1000000.0,0.0,0.0
2000-06-22,0.0,0.0,1000000.0,0.0,0.0
2000-06-23,0.0,0.0,1000000.0,0.0,0.0
2000-06-26,0.0,0.0,1000000.0,0.0,0.0
2000-06-27,0.0,0.0,1000000.0,0.0,0.0
2000-06-28,0.0,0.0,1000000.0,0.0,0.0
2000-06-29,0.0,0.0,1000000.0,0.0,0.0
2000-06-30,0.0,0.0,1000000.0,-1.0,0.0
2000-07-03,-11239.1,-0.011239100000000031,988760.9,-1.0,-0.011239099999999978
2000-07-04,-8849.95,-0.008849950000000061,979910.95,-1.0,-0.020089050000000046
2000-07-05,-5585.9,-0.00558589999999997,974325.05,-1.0,-0.02567495000000007
2000-07-06,3230.4,0.0032303999999999697,977555.45,-1.0,-0.022444550000000046
2000-07-07,134.6,0.0001346000000000306,977690.05,-1.0,-0.02230995000000007
2000-07-10,5585.9,0.00558589999999997,983275.95,-1.0,-0.016724050000000046
2000-07-11,-6427.15,-0.00642714999999997,976848.8,-1.0,-0.02315120000000007
2000-07-12,-11811.15,-0.011811149999999968,965037.65,-1.0,-0.034962349999999975
2000-07-13,8950.9,0.008950899999999968,973988.55,-1.0,-0.02601145000000007
2000-07-14,7604.9,0.00760489999999997,981593.45,-1.0,-0.018406550000000046
2000-07-17,19214.15,0.01921415000000012,1000807.6,-1.0,0.0
2000-07-18,11642.9,0.011642899999999968,1012450.5,-1.0,0.0
2000-07-19,14839.65,0.014839649999999968,1027290.15,-1.0,0.0
2000-07-20,8311.55,0.008311549999999938,1035601.7,-1.0,0.0
2000-07-21,16185.65,0.01618565000000012,1051787.35,-1.0,0.0
2000-07-24,56935.8,0.05693579999999994,1108723.15,-1.0,0.0
2000-07-25,-18776.7,-0.018776700000000063,1089946.45,-1.0,-0.018776699999999952
2000-07-26,22915.65,0.02291565000000012,1112862.1,-1.0,0.0
2000-07-27,-13426.35,-0.013426350000000031,1099435.75,-1.0,-0.013426350000000094
2000-07-28,-8580.75,-0.00858075,1090855.0,-1.0,-0.022007100000000092
2000-07-31,1333.8,0.0013337999999999664,1092188.8,-1.0,-0.020673300000000047
2000-08-01,2778.75,0.00277875,1094967.55,-1.0,-0.017894550000000047
2000-08-02,-333.45,-0.0003334500000000337,1094634.1,-1.0,-0.018228000000000234
2000-08-03,10633.35,0.0106333500000001,1105267.45,-1.0,-0.007594650000000139
2000-08-04,1519.05,0.0015190499999999663,1106786.5,-1.0,-0.006075600000000093
2000-08-07,3779.1,0.0037790999999999324,1110565.6,-1.0,-0.002296500000000233
2000-08-08,-22637.55,-0.022637549999999968,1087928.05,-1.0,-0.02493405000000028
2000-08-09,-1926.6,-0.0019265999999999327,1086001.45,-1.0,-0.02686065000000014
2000-08-10,13412.1,0.013412099999999934,1099413.55,-1.0,-0.01344855000000028
2000-08-11,14894.1,0.014894099999999933,1114307.65,-1.0,0.0
2000-08-14,-5409.3,-0.005409299999999967,1108898.35,-1.0,-0.0054093000000000465
2000-08-16,-24230.7,-0.024230700000000032,1084667.65,-1.0,-0.02964
2000-08-17,10448.1,0.0104481000000001,1095115.75,-1.0,-0.019191899999999908
2000-08-18,-15190.5,-0.0151905,1079925.25,-1.0,-0.03438239999999991
2000-08-21,-7891.65,-0.007891650000000068,1072033.6,-1.0,-0.04227405000000005
2000-08-22,-5038.8,-0.005038799999999967,1066994.8,-1.0,-0.047312850000000094
2000-08-23,-1667.25,-0.00166725,1065327.55,-1.0,-0.048980100000000096
2000-08-24,1037.4,0.0010374000000000674,1066364.95,-1.0,-0.047942699999999956
2000-08-25,1222.65,0.001222649999999899,1067587.6,-1.0,-0.04672005000000005
2000-08-28,5890.95,0.005890950000000034,1073478.55,-1.0,-0.04082910000000009
2000-08-29,4631.25,0.00463125,1078109.8,-1.0,-0.036197850000000094
2000-08-30,-5372.25,-0.00537225,1072737.55,-1.0,-0.041570100000000096
2000-08-31,-13175.3,-0.013175299999999933,1059562.25,-1.0,-0.05474539999999991
2000-09-04,-26314.7,-0.026314700000000066,1033247.55,-1.0,-0.08106009999999998
2000-09-05,-2872.0,-0.002872,1030375.55,-1.0,-0.08393209999999998
2000-09-06,-3805.4,-0.0038053999999999675,1026570.15,-1.0,-0.0877375
