Dates,2period,4period,6period,8period,10period,12period,14period,16period,18period,20period,22period,24period,26period,28period,30period,32period,34period,36period,38period,40period,42period,44period,46period,48period,50period
2005-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-15,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247,0.0018088000000000247
2005-06-16,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802,0.01802
2005-06-17,-0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025,0.006432800000000025
2005-06-20,-0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024,0.017992800000000024
2005-06-21,-0.0077656000000000495,0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495,-0.0077656000000000495
2005-06-22,9.519999999997526e-05,-9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05,9.519999999997526e-05
2005-06-23,0.010893599999999925,0.010893599999999925,0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925,-0.010893599999999925
2005-06-24,-0.0034543999999999504,-0.0034543999999999504,-0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504,0.0034543999999999504
