Trades,Total Trades,Profit Factor,Total Profit,Average Profit,Max Profit,Min Profit,Average Duration,Hit Ratio,Profitability,Max DD in Trade,Max Profit in Trade,Max Loss in Trade,Max Recovery in Trade,Max DD Duration in Trade
ALL Trades,360,1.435597515549953,1.825115532814816,0.005069765368930045,0.2990813820275543,-0.07569200481984961,12.480555555555556,0.41944444444444445,1.9870190778141734,-0.12241822944435432,0.3589923526004961,-0.07569200481984961,0.35899235260049633,15
Profitable Trades,151,-inf,6.015028164686839,0.03983462360719761,0.2990813820275543,0.0001095330242066872,18.0,1.0,,-0.12241822944435432,0.3589923526004961,-0.051761239727906805,0.35899235260049633,15
Losing Trades,209,0.0,-4.189912631872022,-0.020047428860631683,-0.0,-0.07569200481984961,8.492822966507177,0.0,,-0.1163354441869654,0.08371349906549541,-0.07569200481984961,0.12142953697060443,13
Long Trades,192,1.8975995009391842,1.4694688453500544,0.007653483569531533,0.20774052875442894,-0.07569200481984961,11.411458333333334,0.4739583333333333,2.106126918624809,-0.07569200481984961,0.2693376941946035,-0.07569200481984961,0.26933769419460374,15
Short Trades,168,1.1393161541570256,0.355646687464762,0.0021169445682426313,0.2990813820275543,-0.06827476108207398,13.702380952380953,0.35714285714285715,2.050769077482646,-0.12241822944435432,0.3589923526004961,-0.06827476108207398,0.35899235260049633,11
