Dates,PNL,%PNL,Equity,EOD Position,DD
12-06-2000,0,0,1000000,0,0
13-06-2000,0,0,1000000,0,0
14-06-2000,0,0,1000000,0,0
15-06-2000,0,0,1000000,0,0
16-06-2000,0,0,1000000,1,0
19-06-2000,14603.4,0.0146034,1014603.4,1,0
20-06-2000,11149.2,0.0111492,1025752.6,1,0
21-06-2000,-19015.2,-0.0190152,1006737.4,1,-0.0190152
22-06-2000,4924.8,0.0049248,1011662.2,1,-0.0140904
23-06-2000,-10704.6,-0.0107046,1000957.6,1,-0.024795
26-06-2000,-10738.8,-0.0107388,990218.8,1,-0.0355338
27-06-2000,-4172.4,-0.0041724,986046.4,0,-0.0397062
28-06-2000,0,0,986046.4,0,-0.0397062
29-06-2000,0,0,986046.4,1,-0.0397062
30-06-2000,-3903.4,-0.0039034,982143,1,-0.0436096
03-07-2000,11239.1,0.0112391,993382.1,1,-0.0323705
04-07-2000,8849.95,0.00884995,1002232.05,1,-0.02352055
05-07-2000,5585.9,0.0055859,1007817.95,1,-0.01793465
06-07-2000,-3230.4,-0.0032304,1004587.55,1,-0.02116505
07-07-2000,-134.6,-0.0001346,1004452.95,1,-0.02129965
10-07-2000,-5585.9,-0.0055859,998867.05,1,-0.02688555
11-07-2000,6427.15,0.00642715,1005294.2,1,-0.0204584
12-07-2000,11811.15,0.01181115,1017105.35,1,-0.00864725
13-07-2000,-8950.9,-0.0089509,1008154.45,1,-0.01759815
14-07-2000,-7604.9,-0.0076049,1000549.55,1,-0.02520305
17-07-2000,-19214.15,-0.01921415,981335.4,-1,-0.0444172
18-07-2000,11642.9,0.0116429,992978.3,-1,-0.0327743
19-07-2000,14839.65,0.01483965,1007817.95,-1,-0.01793465
20-07-2000,8311.55,0.00831155,1016129.5,-1,-0.0096231
21-07-2000,16185.65,0.01618565,1032315.15,-1,0
24-07-2000,56935.8,0.0569358,1089250.95,-1,0
25-07-2000,-18776.7,-0.0187767,1070474.25,-1,-0.0187767
26-07-2000,22915.65,0.02291565,1093389.9,-1,0
27-07-2000,-13426.35,-0.01342635,1079963.55,-1,-0.01342635
28-07-2000,-8580.75,-0.00858075,1071382.8,-1,-0.0220071
31-07-2000,1333.8,0.0013338,1072716.6,-1,-0.0206733
01-08-2000,2778.75,0.00277875,1075495.35,-1,-0.01789455
02-08-2000,-333.45,-0.00033345,1075161.9,-1,-0.018228
03-08-2000,10633.35,0.01063335,1085795.25,-1,-0.00759465
04-08-2000,1519.05,0.00151905,1087314.3,-1,-0.0060756
07-08-2000,3779.1,0.0037791,1091093.4,-1,-0.0022965
08-08-2000,-22637.55,-0.02263755,1068455.85,-1,-0.02493405
09-08-2000,-1926.6,-0.0019266,1066529.25,1,-0.02686065
10-08-2000,-13412.1,-0.0134121,1053117.15,0,-0.04027275
11-08-2000,0,0,1053117.15,0,-0.04027275
14-08-2000,0,0,1053117.15,0,-0.04027275
16-08-2000,0,0,1053117.15,1,-0.04027275
17-08-2000,-10448.1,-0.0104481,1042669.05,1,-0.05072085
18-08-2000,15190.5,0.0151905,1057859.55,1,-0.03553035
21-08-2000,7891.65,0.00789165,1065751.2,1,-0.0276387
22-08-2000,5038.8,0.0050388,1070790,1,-0.0225999
23-08-2000,1667.25,0.00166725,1072457.25,1,-0.02093265
24-08-2000,-1037.4,-0.0010374,1071419.85,1,-0.02197005
25-08-2000,-1222.65,-0.00122265,1070197.2,1,-0.0231927
28-08-2000,-5890.95,-0.00589095,1064306.25,1,-0.02908365
29-08-2000,-4631.25,-0.00463125,1059675,1,-0.0337149
30-08-2000,5372.25,0.00537225,1065047.25,1,-0.02834265
31-08-2000,13175.3,0.0131753,1078222.55,1,-0.01516735
04-09-2000,26314.7,0.0263147,1104537.25,1,0
05-09-2000,2872,0.002872,1107409.25,1,0
06-09-2000,3805.4,0.0038054,1111214.65,1,0
07-09-2000,5313.2,0.0053132,1116527.85,1,0
08-09-2000,18668,0.018668,1135195.85,1,0
11-09-2000,-12385.5,-0.0123855,1122810.35,1,-0.0123855
12-09-2000,12385.5,0.0123855,1135195.85,1,0
13-09-2000,-10662.3,-0.0106623,1124533.55,1,-0.0106623
14-09-2000,-4020.8,-0.0040208,1120512.75,1,-0.0146831
15-09-2000,-19314.2,-0.0193142,1101198.55,0,-0.0339973
18-09-2000,0,0,1101198.55,-1,-0.0339973
19-09-2000,25740.3,0.0257403,1126938.85,-1,-0.008257
20-09-2000,-14790.8,-0.0147908,1112148.05,-1,-0.0230478
21-09-2000,12852.2,0.0128522,1125000.25,-1,-0.0101956
22-09-2000,42038.9,0.0420389,1167039.15,-1,0
25-09-2000,-14683.1,-0.0146831,1152356.05,-1,-0.0146831
26-09-2000,19780.9,0.0197809,1172136.95,-1,0
27-09-2000,-20893.8,-0.0208938,1151243.15,-1,-0.0208938
28-09-2000,19996.3,0.0199963,1171239.45,-1,-0.0008975
29-09-2000,-12269.25,-0.01226925,1158970.2,-1,-0.01316675
03-10-2000,-6154.1,-0.0061541,1152816.1,-1,-0.01932085
04-10-2000,-14138.85,-0.01413885,1138677.25,-1,-0.0334597
05-10-2000,13437.75,0.01343775,1152115,-1,-0.02002195
06-10-2000,-1168.5,-0.0011685,1150946.5,-1,-0.02119045
09-10-2000,14099.9,0.0140999,1165046.4,-1,-0.00709055
10-10-2000,23214.2,0.0232142,1188260.6,-1,0
11-10-2000,27109.2,0.0271092,1215369.8,-1,0
12-10-2000,-2999.15,-0.00299915,1212370.65,-1,-0.00299915
13-10-2000,22980.5,0.0229805,1235351.15,-1,0
16-10-2000,-233.7,-0.0002337,1235117.45,-1,-0.0002337
17-10-2000,16086.35,0.01608635,1251203.8,-1,0
18-10-2000,18306.5,0.0183065,1269510.3,-1,0
19-10-2000,-21734.1,-0.0217341,1247776.2,-1,-0.0217341
20-10-2000,23331.05,0.02333105,1271107.25,-1,0
23-10-2000,-4712.95,-0.00471295,1266394.3,-1,-0.00471295
24-10-2000,-6348.85,-0.00634885,1260045.45,-1,-0.0110618
25-10-2000,-23214.2,-0.0232142,1236831.25,-1,-0.034276
27-10-2000,-4712.95,-0.00471295,1232118.3,1,-0.03898895
30-10-2000,-10828.1,-0.0108281,1221290.2,0,-0.04981705
31-10-2000,0,0,1221290.2,0,-0.04981705
01-11-2000,0,0,1221290.2,1,-0.04981705
02-11-2000,19627.2,0.0196272,1240917.4,1,-0.03018985
03-11-2000,15481.8,0.0154818,1256399.2,1,-0.01470805
06-11-2000,-2918.7,-0.0029187,1253480.5,1,-0.01762675
07-11-2000,6979.5,0.0069795,1260460,1,-0.01064725
