DD_number,DD_start_date,DD_end_date,Max_dd,Max_dd_date,DD_period,DD_recovery_period
1,2000-06-21,2000-07-21,-0.044417199999999955,2000-07-17,30 days,4 days
2,2000-07-25,2000-07-26,-0.018776699999999952,2000-07-25,1 days,1 days
3,2000-07-27,2000-09-04,-0.050720850000000095,2000-08-17,39 days,18 days
4,2000-09-11,2000-09-12,-0.0123855,2000-09-11,1 days,1 days
5,2000-09-13,2000-09-22,-0.03399730000000005,2000-09-15,9 days,7 days
6,2000-09-25,2000-09-26,-0.01468309999999986,2000-09-25,1 days,1 days
7,2000-09-27,2000-10-10,-0.03345969999999995,2000-10-04,13 days,6 days
8,2000-10-12,2000-10-13,-0.0029991499999999067,2000-10-12,1 days,1 days
9,2000-10-16,2000-10-17,-0.00023369999999995342,2000-10-16,1 days,1 days
10,2000-10-19,2000-10-20,-0.02173409999999986,2000-10-19,1 days,1 days
11,2000-10-23,2000-11-09,-0.04981705000000028,2000-10-30,17 days,10 days
12,2000-11-10,2000-12-13,-0.0709793999999999,2000-11-22,33 days,21 days
13,2000-12-14,2000-12-22,-0.0421045,2000-12-20,8 days,2 days
14,2000-12-27,2001-02-23,-0.09290714999999991,2001-01-11,58 days,43 days
15,2001-02-28,2001-03-12,-0.045756,2001-03-01,12 days,11 days
16,2001-03-14,2001-10-23,-0.21345384999999986,2001-09-04,223 days,49 days
17,2001-10-24,2001-11-14,-0.04224,2001-10-30,21 days,15 days
18,2001-11-20,2001-11-26,-0.016327999999999766,2001-11-20,6 days,6 days
19,2001-11-27,2001-12-05,-0.0251285,2001-12-03,8 days,2 days
20,2001-12-11,2001-12-19,-0.016678600000000092,2001-12-13,8 days,6 days
21,2001-12-24,2001-12-26,-0.003420049999999814,2001-12-24,2 days,2 days
22,2001-12-28,2002-10-04,-0.10266190000000014,2002-07-11,280 days,85 days
23,2002-10-07,2002-11-22,-0.051647649999999906,2002-11-11,46 days,11 days
24,2002-11-27,2002-11-28,-0.004624399999999907,2002-11-27,1 days,1 days
25,2002-11-29,2002-12-02,-0.0037762000000001864,2002-11-29,3 days,3 days
26,2002-12-03,2002-12-06,-0.022752799999999813,2002-12-04,3 days,2 days
27,2002-12-09,2002-12-13,-0.012571400000000373,2002-12-09,4 days,4 days
28,2002-12-16,2003-01-24,-0.02295125,2003-01-16,39 days,8 days
29,2003-01-28,2003-01-29,-0.006999750000000233,2003-01-28,1 days,1 days
30,2003-01-31,2003-05-29,-0.06158360000000056,2003-03-04,118 days,86 days
31,2003-05-30,2003-06-02,-0.00325,2003-05-30,3 days,3 days
32,2003-06-03,2003-06-04,-0.0055,2003-06-03,1 days,1 days
33,2003-06-10,2003-06-12,-0.011,2003-06-10,2 days,2 days
34,2003-06-16,2003-06-17,-0.00535,2003-06-16,1 days,1 days
35,2003-06-23,2003-06-25,-0.0105,2003-06-23,2 days,2 days
36,2003-06-27,2003-06-30,-0.0021999999999997672,2003-06-27,3 days,3 days
37,2003-07-01,2003-07-02,-0.00213359999999986,2003-07-01,1 days,1 days
38,2003-07-04,2003-07-07,-0.0009334499999999534,2003-07-04,3 days,3 days
39,2003-07-08,2003-07-14,-0.007600949999999954,2003-07-11,6 days,3 days
40,2003-07-15,2003-08-26,-0.0849485,2003-08-07,42 days,19 days
41,2003-08-28,2003-08-29,-0.00273975,2003-08-28,1 days,1 days
42,2003-09-03,2003-09-05,-0.018816,2003-09-03,2 days,2 days
43,2003-09-09,2003-10-09,-0.05501475,2003-09-24,30 days,15 days
44,2003-10-14,2003-10-16,-0.02231325,2003-10-14,2 days,2 days
45,2003-10-20,2003-12-29,-0.1302076499999999,2003-12-05,70 days,24 days
46,2004-01-06,2004-01-08,-0.018091800000000047,2004-01-06,2 days,2 days
47,2004-01-12,2004-01-14,-0.015764199999999954,2004-01-12,2 days,2 days
48,2004-01-15,2004-01-22,-0.04189679999999981,2004-01-19,7 days,3 days
49,2004-01-23,2004-02-03,-0.06607209999999986,2004-01-27,11 days,7 days
50,2004-02-04,2004-05-11,-0.1221598500000001,2004-03-12,97 days,60 days
51,2004-05-12,2004-05-14,-0.011116,2004-05-13,2 days,1 days
52,2004-05-18,2005-05-26,-0.2404138999999999,2004-07-14,373 days,316 days
53,2005-05-27,2005-06-07,-0.019241900000000374,2005-06-02,11 days,5 days
54,2005-06-09,2005-06-14,-0.011035199999999721,2005-06-10,5 days,4 days
55,2005-06-16,2005-06-20,-0.004791599999999627,2005-06-16,4 days,4 days
56,2005-06-28,2005-06-29,-0.006509799999999814,2005-06-28,1 days,1 days
57,2005-07-01,2005-07-04,-0.0061875,2005-07-01,3 days,3 days
58,2005-07-05,2005-09-19,-0.0559665,2005-08-31,76 days,19 days
59,2005-09-21,2005-10-28,-0.07595629999999981,2005-10-11,37 days,17 days
60,2005-10-31,2005-11-24,-0.06431715000000038,2005-11-07,24 days,17 days
61,2005-11-29,2006-03-30,-0.07945355000000028,2006-02-03,121 days,55 days
62,2006-03-31,2006-04-03,-0.00449755000000028,2006-03-31,3 days,3 days
63,2006-04-07,2006-06-08,-0.20481974999999952,2006-05-17,62 days,22 days
64,2006-06-09,2006-06-13,-0.04133885000000056,2006-06-09,4 days,4 days
65,2006-06-15,2006-08-25,-0.10940894999999973,2006-06-20,71 days,66 days
66,2006-08-31,2006-09-04,-0.005402,2006-08-31,4 days,4 days
67,2006-09-05,2007-09-19,-0.18611130000000076,2007-02-15,379 days,216 days
68,2007-10-05,2007-10-09,-0.026848799999999815,2007-10-08,4 days,1 days
69,2007-10-12,2007-10-15,-0.020621700000000187,2007-10-12,3 days,3 days
70,2007-10-16,2008-10-17,-0.42108729999999933,2008-04-08,367 days,192 days
71,2008-10-20,2008-10-22,-0.04334509999999963,2008-10-21,2 days,1 days
72,2008-10-28,2011-08-18,-0.2884520999999996,2009-02-19,1024 days,910 days
73,2011-08-22,2011-08-25,-0.017572100000000094,2011-08-23,3 days,2 days
74,2011-08-29,2012-02-03,-0.1604882000000002,2011-10-11,158 days,115 days
75,2012-02-07,2012-02-08,-0.0022251499999999067,2012-02-07,1 days,1 days
76,2012-02-10,2012-02-14,-0.007525400000000373,2012-02-10,4 days,4 days
