Trades,Total Trades,Profit Factor,Total Profit,Average Profit,Max Profit,Min Profit,Average Duration,Hit Ratio,Profitability,Max DD in Trade,Max Profit in Trade,Max Loss in Trade,Max Recovery in Trade,Max DD Duration in Trade
ALL Trades,778,1.3964286074009569,2.88687049719921,0.0037106304591249485,0.2989016068409337,-0.07618262959148647,9.3573264781491,0.3393316195372751,2.7188041825912572,-0.11691970574424793,0.3875515441972486,-0.07618262959148658,0.3875515441972486,10
Profitable Trades,264,-inf,10.169065685195232,0.03851918820149709,0.2989016068409337,0.0001428212335183865,19.193181818181817,1.0,,-0.11691970574424793,0.3875515441972486,-0.03038214624202007,0.3875515441972486,10
Losing Trades,514,0.0,-7.28219518799602,-0.014167694918280195,-0.00013552779946213178,-0.07618262959148647,4.30544747081712,0.0,,-0.09387195881424903,0.06643404841905731,-0.07618262959148658,0.06643404841905731,10
Long Trades,389,1.7887704710387407,2.6291379935631487,0.006758709495020948,0.24153068040843606,-0.07618262959148647,11.118251928020566,0.390745501285347,2.789069747606457,-0.08665675701318831,0.32365430030595976,-0.07618262959148658,0.32365430030595976,10
Short Trades,389,1.0652655105374493,0.2577325036360618,0.0006625514232289506,0.2989016068409337,-0.07490947404115156,7.596401028277635,0.2879177377892031,2.634629878739942,-0.11691970574424793,0.3875515441972486,-0.07490947404115156,0.3875515441972486,10
