DD_number,DD_start_date,DD_end_date,Max_dd,Max_dd_date,DD_period,DD_recovery_period
79,2005-07-05,2005-08-02,-0.0592875,2005-07-15,28 days,18 days
80,2005-08-03,2005-08-04,-0.00378,2005-08-03,1 days,1 days
81,2005-08-05,2005-09-16,-0.0678915,2005-08-31,42 days,16 days
82,2005-09-21,2005-10-27,-0.07561870000000019,2005-10-11,36 days,16 days
83,2005-10-31,2005-11-11,-0.04748175,2005-11-02,11 days,9 days
84,2005-11-21,2005-11-24,-0.021932549999999815,2005-11-22,3 days,2 days
85,2005-11-29,2005-12-13,-0.03456395000000018,2005-12-07,14 days,6 days
86,2005-12-14,2005-12-16,-0.013590850000000093,2005-12-15,2 days,1 days
87,2005-12-20,2005-12-26,-0.019453200000000188,2005-12-23,6 days,3 days
88,2005-12-27,2006-03-27,-0.06890900000000047,2006-02-20,90 days,35 days
89,2006-03-31,2006-04-03,-0.004497549999999814,2006-03-31,3 days,3 days
90,2006-04-07,2006-06-13,-0.21426825,2006-05-18,67 days,26 days
91,2006-06-15,2006-07-05,-0.09998310000000009,2006-06-20,20 days,15 days
92,2006-07-06,2006-08-28,-0.07952,2006-07-14,53 days,45 days
93,2006-08-31,2006-09-04,-0.005402,2006-08-31,4 days,4 days
94,2006-09-05,2008-01-22,-0.2944055999999996,2007-08-27,504 days,148 days
95,2008-01-23,2008-06-09,-0.1535013500000001,2008-04-11,138 days,59 days
96,2008-06-11,2008-06-23,-0.04411490000000037,2008-06-19,12 days,4 days
97,2008-06-25,2008-06-27,-0.029643399999999907,2008-06-26,2 days,1 days
98,2008-07-02,2008-10-17,-0.23875485000000055,2008-09-25,107 days,22 days
99,2008-10-20,2008-10-22,-0.043345100000000095,2008-10-21,2 days,1 days
100,2008-10-28,2008-11-19,-0.10956380000000028,2008-10-31,22 days,19 days
101,2008-11-21,2009-03-26,-0.17402459999999964,2008-12-05,125 days,111 days
102,2009-03-30,2009-04-02,-0.04980425,2009-03-30,3 days,3 days
103,2009-04-09,2009-04-13,-3.310000000009313e-05,2009-04-09,4 days,4 days
104,2009-04-16,2009-05-29,-0.21286034999999962,2009-05-15,43 days,14 days
105,2009-06-02,2009-06-04,-0.001713600000000093,2009-06-02,2 days,2 days
106,2009-06-08,2011-09-07,-0.2316578000000026,2010-08-26,821 days,377 days
107,2011-09-09,2011-12-20,-0.18738305000000074,2011-09-30,102 days,81 days
108,2011-12-21,2012-01-27,-0.09738754999999935,2012-01-09,37 days,18 days
109,2012-01-30,2012-02-01,-0.0216505,2012-01-30,2 days,2 days
110,2012-02-07,2012-02-08,-0.0022251499999999067,2012-02-07,1 days,1 days
111,2012-02-10,2012-02-14,-0.007525399999999907,2012-02-10,4 days,4 days
112,2012-02-16,2012-02-17,-0.00281725,2012-02-16,1 days,1 days
113,2012-02-22,2012-02-27,-0.027312999999999536,2012-02-24,5 days,3 days
114,2012-02-28,2012-03-05,-0.019653899999999908,2012-02-28,6 days,6 days
115,2012-03-07,2012-03-14,-0.02081625,2012-03-09,7 days,5 days
116,2012-03-15,2014-04-09,-0.18730130000000028,2012-05-03,755 days,706 days
117,2014-04-10,2014-05-16,-0.043556399999999905,2014-05-09,36 days,7 days
118,2014-05-21,2014-05-23,-0.0030488000000002792,2014-05-21,2 days,2 days
119,2014-05-26,2014-06-09,-0.0399335,2014-06-02,14 days,7 days
120,2014-06-10,2014-11-28,-0.09185940000000037,2014-08-13,171 days,107 days
121,2014-12-01,2014-12-12,-0.017089,2014-12-08,11 days,4 days
122,2014-12-18,2016-01-20,-0.16479219999999972,2015-06-02,398 days,232 days
123,2016-01-22,2016-01-29,-0.0189125,2016-01-28,7 days,1 days
124,2016-02-01,2016-03-21,-0.06513860000000009,2016-03-01,49 days,20 days
125,2016-03-28,2016-03-30,-0.0165075,2016-03-29,2 days,1 days
126,2016-03-31,2016-04-01,-0.0003353999999999069,2016-03-31,1 days,1 days
127,2016-04-05,2016-04-26,-0.03171464999999991,2016-04-11,21 days,15 days
128,2016-04-28,2017-10-26,-0.21495045000000113,2016-11-01,546 days,359 days
129,2017-10-31,2017-11-01,-0.0019152000000001862,2017-10-31,1 days,1 days
130,2017-11-02,2017-11-03,-0.002140799999999814,2017-11-02,1 days,1 days
131,2017-11-07,2017-11-15,-0.013588799999999814,2017-11-09,8 days,6 days
