Trade Number,Entry Date,Entry Price,Exit Date,Exit Price,Trade Position,Trade Pnl,Trade Duration,Max DD,Max DD Duration,Max Profit,Max Loss,Max Recovery,Profitable,Trade Side
1,2000-06-12,1452.75,2000-06-26,1462.0,1.0,0.006367234555153978,14,-0.03431421116945732,4,0.04212700051626239,-0.009636895542935786,0.05226759339704623,True,Long
2,2000-06-26,1462.0,2000-06-29,1490.35,-1.0,-0.01939124487004107,3,-0.0234657039711188,2,0.004172366621067014,-0.019391244870040847,0.004172366621066903,False,Short
3,2000-06-29,1490.35,2000-07-14,1511.9,1.0,0.014459690676686732,15,-0.016010413276928093,4,0.030965880497869636,-0.0038917032911731653,0.034993769155636345,True,Long
4,2000-07-14,1511.9,2000-08-08,1353.5,-1.0,0.10476883391758718,25,-0.02147104484607043,9,0.1290098551491502,-0.0,0.1290098551491501,True,Short
5,2000-08-08,1353.5,2000-08-10,1338.0,1.0,-0.011451791651274523,2,-0.013347098296585647,1,0.001920945696342713,-0.011451791651274412,0.001920945696342713,False,Long
6,2000-08-10,1338.0,2000-08-16,1357.9,-1.0,-0.014872944693572476,6,-0.029452912156689548,2,0.01502242152466371,-0.014872944693572476,0.01502242152466371,False,Short
7,2000-08-16,1357.9,2000-08-29,1366.75,1.0,0.006517416599160386,13,-0.012463872832369938,4,0.01922085573311727,-0.010383680683408447,0.029915165947313804,True,Long
8,2000-08-29,1366.75,2000-08-30,1374.0,-1.0,-0.005304554600329192,1,-0.005304554600329192,1,-0.0,-0.005304554600329192,0.0,False,Short
9,2000-08-30,1374.0,2000-09-15,1424.35,1.0,0.03664483260553131,16,-0.03217367670041449,3,0.07110625909752555,0.0,0.07110625909752555,True,Long
10,2000-09-15,1424.35,2000-10-04,1308.85,-1.0,0.08108961982658758,19,-0.027196917050982483,5,0.11131393267104295,0.0,0.11131393267104306,True,Short
11,2000-10-04,1308.85,2000-10-09,1275.0,1.0,-0.02586239828857384,5,-0.02586239828857384,3,0.0,-0.02586239828857384,0.0011613502632394912,False,Long
12,2000-10-09,1275.0,2000-10-25,1182.85,-1.0,0.0722745098039217,16,-0.031180243064167668,3,0.10678431372549024,-2.220446049250313e-16,0.10678431372549047,True,Short
13,2000-10-25,1182.85,2000-11-13,1213.4,1.0,0.02582745064885672,19,-0.04610667819661174,2,0.07541108340026215,-0.006636513505516195,0.08259574468085096,True,Long
14,2000-11-13,1213.4,2000-11-14,1248.35,-1.0,-0.02880336245261228,1,-0.02880336245261228,1,-0.0,-0.02880336245261228,0.0,False,Short
15,2000-11-14,1248.35,2000-11-16,1236.6,1.0,-0.009412424400208286,2,-0.010403329065300948,1,0.001001321744703132,-0.009412424400208175,0.00100132174470291,False,Long
16,2000-11-16,1236.6,2000-11-27,1254.85,-1.0,-0.014758207989649108,11,-0.030091947617720827,3,0.015809477599870503,-0.014758207989649108,0.019395414891458795,False,Short
17,2000-11-27,1254.85,2000-12-15,1315.45,1.0,0.04829262461648809,18,-0.026313841598815557,2,0.07662270390883363,0.0,0.07662270390883363,True,Long
18,2000-12-15,1315.45,2001-01-02,1271.95,-1.0,0.03306853168117374,18,-0.043127728488945194,5,0.07963054468052755,-0.0042951081378994616,0.08428767750801636,True,Short
19,2001-01-02,1271.95,2001-01-10,1288.6,1.0,0.01309013719092711,8,-0.032037558685446,3,0.04662132945477415,0.0,0.04662132945477415,True,Long
20,2001-01-10,1288.6,2001-01-17,1304.0,-1.0,-0.011950954524289958,7,-0.01925743336928043,4,0.007449945677479364,-0.011950954524289958,0.007449945677479253,False,Short
21,2001-01-17,1304.0,2001-02-16,1386.6,1.0,0.06334355828220861,30,-0.02331478481369309,3,0.0887269938650308,0.0,0.0887269938650308,True,Long
22,2001-02-16,1386.6,2001-03-01,1366.8,-1.0,0.014279532669839834,13,-0.04222282756742035,2,0.058993220827924464,-0.00025241598153757927,0.05926059513074855,True,Short
23,2001-03-01,1366.8,2001-03-02,1313.5,1.0,-0.03899619549312261,1,-0.03899619549312261,1,0.0,-0.03899619549312261,0.0,False,Long
24,2001-03-02,1313.5,2001-03-27,1172.65,-1.0,0.1072325846973734,25,-0.049603436880370166,10,0.1518842786448421,-0.0,0.15188427864484222,True,Short
25,2001-03-27,1172.65,2001-03-30,1148.45,1.0,-0.020637018718287714,3,-0.03983780620349453,2,0.019997441691894213,-0.020637018718287714,0.019997441691894213,False,Long
26,2001-03-30,1148.45,2001-04-18,1097.3,-1.0,0.04453829073969273,19,-0.0504986544245688,3,0.10009142757629852,-0.0,0.10009142757629852,True,Short
27,2001-04-18,1097.3,2001-04-27,1103.05,1.0,0.005240134876514979,9,-0.04286520022560647,2,0.050259728424314254,0.0,0.050259728424314254,True,Long
28,2001-04-27,1103.05,2001-05-02,1130.5,-1.0,-0.02488554462626369,5,-0.024885544626263467,2,-0.0,-0.024885544626263467,0.0,False,Short
29,2001-05-02,1130.5,2001-05-03,1115.95,1.0,-0.012870411322423614,1,-0.012870411322423614,1,0.0,-0.012870411322423614,0.0,False,Long
30,2001-05-03,1115.95,2001-05-08,1140.1,-1.0,-0.021640754514091087,5,-0.021640754514091087,3,-0.0,-0.021640754514091087,0.0,False,Short
31,2001-05-08,1140.1,2001-05-11,1123.5,1.0,-0.014560126304710042,3,-0.014560126304710042,3,0.0,-0.014560126304710042,0.0,False,Long
32,2001-05-11,1123.5,2001-05-17,1150.1,-1.0,-0.023676012461059104,6,-0.02454424188528237,2,0.0008900756564308443,-0.023676012461059104,0.0008900756564309553,False,Short
33,2001-05-17,1150.1,2001-06-01,1133.6,1.0,-0.01434657855838628,15,-0.0454296661193212,3,0.032562385879488565,-0.01434657855838628,0.03607572849415441,False,Long
34,2001-06-01,1133.6,2001-06-26,1096.05,-1.0,0.03312455892731114,25,-0.022820191906549825,4,0.05725123500352858,-0.0,0.05725123500352858,True,Short
35,2001-06-26,1096.05,2001-07-03,1073.0,1.0,-0.021030062497148783,7,-0.03680430879712748,2,0.016376990100816613,-0.021030062497148783,0.018700562388551,False,Long
36,2001-07-03,1073.0,2001-07-12,1102.0,-1.0,-0.027027027027026973,9,-0.03845268247755007,3,0.011882572227399746,-0.027027027027027195,0.012826492537313161,False,Short
37,2001-07-12,1102.0,2001-07-20,1076.85,1.0,-0.022822141560798648,8,-0.022822141560798648,6,0.0,-0.022822141560798648,0.0005923360823800738,False,Long
38,2001-07-20,1076.85,2001-08-02,1069.15,-1.0,0.007150485211496305,13,-0.013327874818049645,5,0.020754979802200646,-0.0,0.020754979802200646,True,Short
39,2001-08-02,1069.15,2001-08-10,1066.65,1.0,-0.002338306131038692,8,-0.007641768789898085,5,0.003647757564420262,-0.00402188654538671,0.003647757564420262,False,Long
40,2001-08-10,1066.65,2001-08-14,1075.35,-1.0,-0.008156377443397478,4,-0.010706938470170124,1,0.0025781652838324787,-0.008156377443397478,0.0025781652838325897,False,Short
41,2001-08-14,1075.35,2001-08-20,1067.1,1.0,-0.00767192076998191,6,-0.009054185819752036,2,0.0013948946854511757,-0.00767192076998191,0.0013948946854511757,False,Long
42,2001-08-20,1067.1,2001-08-23,1069.95,-1.0,-0.0026707899915661137,3,-0.0026707899915661137,2,-0.0,-0.0026707899915661137,0.0,False,Short
43,2001-08-23,1069.95,2001-08-29,1069.25,1.0,-0.0006542361792607476,6,-0.0035413074880015216,2,0.002897331651011692,-0.0006542361792607476,0.002897331651011692,False,Long
44,2001-08-29,1069.25,2001-09-27,890.0,-1.0,0.16764086976852932,29,-0.03660644147682646,4,0.19999999999999996,-0.0,0.19999999999999996,True,Short
45,2001-09-27,890.0,2001-10-29,964.45,1.0,0.08365168539325851,32,-0.024231080534196647,6,0.11056179775280905,-0.0017415730337078106,0.11249929652766055,True,Long
