Dates,PNL,%PNL,Equity,EOD Position,DD
2000-06-12,0.0,0.0,1000000.0,1.0,0.0
2000-06-13,-9576.0,-0.009576,990424.0,1.0,-0.009576
2000-06-14,7353.0,0.007353,997777.0,1.0,-0.002223
2000-06-15,-547.2,-0.0005471999999999688,997229.8,1.0,-0.0027701999999999536
2000-06-16,18878.4,0.018878399999999938,1016108.2,1.0,0.0
2000-06-19,14603.4,0.014603400000000093,1030711.6,1.0,0.0
2000-06-20,11149.2,0.011149199999999969,1041860.8,1.0,0.0
2000-06-21,-19015.2,-0.019015199999999968,1022845.6,1.0,-0.019015199999999954
2000-06-22,4924.8,0.004924799999999876,1027770.4,1.0,-0.01409040000000014
2000-06-23,-10704.6,-0.010704599999999908,1017065.8,1.0,-0.024795
2000-06-26,-10738.8,-0.010738800000000033,1006327.0,-1.0,-0.035533800000000046
2000-06-27,4172.4,0.004172399999999938,1010499.4,-1.0,-0.031361400000000136
2000-06-28,-9473.4,-0.009473399999999937,1001026.0,-1.0,-0.040834800000000046
2000-06-29,-14090.4,-0.014090399999999937,986935.6,1.0,-0.05492519999999995
2000-06-30,-3903.4,-0.0039033999999999697,983032.2,1.0,-0.058828599999999974
2000-07-03,11239.1,0.011239100000000031,994271.3,1.0,-0.04758949999999988
2000-07-04,8849.95,0.008849950000000061,1003121.25,1.0,-0.03873954999999982
2000-07-05,5585.9,0.00558589999999997,1008707.15,1.0,-0.03315364999999991
2000-07-06,-3230.4,-0.0032303999999999697,1005476.75,1.0,-0.036384049999999814
2000-07-07,-134.6,-0.0001346000000000306,1005342.15,1.0,-0.03651864999999991
2000-07-10,-5585.9,-0.00558589999999997,999756.25,1.0,-0.04210454999999982
2000-07-11,6427.15,0.00642714999999997,1006183.4,1.0,-0.03567739999999991
2000-07-12,11811.15,0.011811149999999968,1017994.55,1.0,-0.023866249999999884
2000-07-13,-8950.9,-0.008950899999999968,1009043.65,1.0,-0.032817149999999906
2000-07-14,-7604.9,-0.00760489999999997,1001438.75,-1.0,-0.040422049999999814
2000-07-17,19214.15,0.01921415000000012,1020652.9,-1.0,-0.02120789999999979
2000-07-18,11642.9,0.011642899999999968,1032295.8,-1.0,-0.009564999999999766
2000-07-19,14839.65,0.014839649999999968,1047135.45,-1.0,0.0
2000-07-20,8311.55,0.008311549999999938,1055447.0,-1.0,0.0
