Trade Number,Entry Date,Entry Price,Exit Date,Exit Price,Trade Position,Trade Pnl,Trade Duration,Max DD,Max DD Duration,Max Profit,Max Loss,Max Recovery,Profitable,Trade Side
1,2000-06-30,1484.55,2002-02-28,1142.05,-1.0,0.2307096426526557,608,-0.15468136443203861,108,0.4237984574450171,-0.034993769155636345,0.4754292894038812,True,Short
2,2002-02-28,1142.05,2008-03-31,4732.3,1.0,3.1436889803423673,2223,-0.3287574974276608,347,4.506107438378354,-0.1876888052186857,5.778322733642341,True,Long
3,2008-03-31,4732.3,2009-07-31,4636.05,-1.0,0.02033894723495977,487,-0.30848123677505723,183,0.4680176658284556,-0.10865752382562377,0.6469737559564732,True,Short
4,2009-07-31,4636.05,2011-02-28,5338.0,1.0,0.15141122291606002,577,-0.17420205417268653,76,0.3661306500145598,-0.05682639315796856,0.44844028724328777,True,Long
5,2011-02-28,5338.0,2012-10-31,5646.1,-1.0,-0.05771824653428248,611,-0.20766152086906808,219,0.14677781940801804,-0.11339452978643672,0.29344771483508336,False,Short
6,2012-10-31,5646.1,2013-09-30,5791.45,1.0,0.02574343352048314,334,-0.14707638675941304,93,0.09741237314252293,-0.06399107348435207,0.16291061156524367,True,Long
7,2013-09-30,5791.45,2013-10-31,6299.15,-1.0,-0.08766371116041749,31,-0.08766371116041749,21,-0.0,-0.08766371116041749,0.022560321090212998,False,Short
8,2013-10-31,6299.15,2015-06-30,8377.8,1.0,0.32998896676535727,607,-0.12100145226039094,80,0.43747172237524135,-0.046625338339299716,0.5077721070028061,True,Long
9,2015-06-30,8377.8,2016-08-31,8836.15,-1.0,-0.05471006708205017,428,-0.1906540623403168,126,0.1679677242235431,-0.05471006708205017,0.2069518452733372,False,Short
10,2016-08-31,8836.15,2016-11-30,8260.35,1.0,-0.06516412691047568,91,-0.11615298551079589,55,0.01656830180565061,-0.10150914142471557,0.040451178960096756,False,Long
11,2016-11-30,8260.35,2017-02-28,8909.35,-1.0,-0.0785680994146738,90,-0.11942760238808758,44,0.04225607873758386,-0.08221806582045565,0.04436114851341011,False,Short
12,2017-02-28,8909.35,2018-10-31,10398.4,1.0,0.1671334047938402,610,-0.1445102935983562,120,0.31911418902613553,-1.1102230246251565e-16,0.31911418902613575,True,Long
13,2018-10-31,10398.4,2019-05-31,11916.5,-1.0,-0.1459936144022158,212,-0.14882097245730108,143,-0.0,-0.14882097245730108,0.07211042814870106,False,Short
14,2019-05-31,11916.5,2019-07-31,11132.2,1.0,-0.06581630512314851,61,-0.08337842694215769,41,0.015772248562917035,-0.0689212436537574,0.024116161076464637,False,Long
15,2019-07-31,11132.2,2019-12-31,12246.25,-1.0,-0.10007455848798963,153,-0.14004899117985636,68,0.03780923806615055,-0.10753489876214917,0.042425039082488736,False,Short
16,2019-12-31,12246.25,2020-01-31,11994.3,1.0,-0.020573644993365336,31,-0.03248366540292014,13,0.012309890782892685,-0.020573644993365447,0.029334838961448728,False,Long
17,2020-01-31,11994.3,2020-12-02,13162.45,-1.0,-0.09739209457825804,306,-0.3401525563705846,174,0.3679039210291555,-0.09739209457825804,0.3951395177782595,False,Short
