Dates,Open,High,Low,Close,Volume,5_SMA,10_SMA,min_of_2,Signal,Trades
2000-01-03,1482.15,1592.9,1482.15,1592.2,0,0.0,0.0,0.0,1,
2000-01-04,1594.4,1641.95,1594.4,1638.7,0,0.0,0.0,0.0,1,0.0
2000-01-05,1634.55,1635.5,1555.05,1595.8,0,0.0,0.0,0.0,1,0.0
2000-01-06,1595.8,1639.0,1595.8,1617.6,0,0.0,0.0,0.0,1,0.0
2000-01-07,1616.6,1628.25,1597.2,1613.3,0,1611.52,0.0,0.0,1,0.0
2000-01-10,1615.65,1662.1,1614.95,1632.95,0,1619.6699999999998,0.0,0.0,1,0.0
2000-01-11,1633.25,1639.9,1548.25,1572.5,0,1606.4299999999998,0.0,0.0,1,0.0
2000-01-12,1570.3,1631.55,1570.3,1624.8,0,1612.2299999999998,0.0,0.0,1,0.0
2000-01-13,1627.85,1671.15,1613.65,1621.4,0,1612.9899999999998,0.0,0.0,1,0.0
2000-01-14,1622.15,1627.4,1591.4,1622.75,0,1614.8799999999997,1613.1999999999998,1613.1999999999998,1,0.0
2000-01-17,1623.5,1668.45,1604.65,1611.6,0,1610.6099999999997,1615.1399999999999,1610.6099999999997,1,0.0
2000-01-18,1611.65,1615.15,1587.85,1606.7,0,1617.4499999999996,1611.9399999999998,1611.9399999999998,-1,-2.0
2000-01-19,1634.85,1634.85,1634.85,1634.85,0,1619.4599999999996,1615.8449999999998,1615.8449999999998,1,2.0
2000-01-20,1610.05,1644.45,1596.65,1601.1,0,1615.3999999999996,1614.1949999999995,1614.1949999999995,-1,-2.0
2000-01-21,1601.25,1626.05,1593.2,1620.6,0,1614.9699999999998,1614.9249999999997,1614.9249999999997,1,2.0
2000-01-24,1623.05,1645.0,1608.3,1613.6,0,1615.3699999999997,1612.9899999999993,1612.9899999999993,1,0.0
2000-01-25,1612.95,1613.65,1579.55,1586.4,0,1611.3099999999997,1614.3799999999997,1611.3099999999997,-1,-2.0
2000-01-27,1600.5,1633.55,1600.05,1603.9,0,1605.1199999999997,1612.2899999999997,1605.1199999999997,-1,0.0
2000-01-28,1603.65,1610.9,1592.7,1599.1,0,1604.7199999999998,1610.0599999999997,1604.7199999999998,-1,0.0
2000-01-31,1598.35,1598.35,1538.7,1546.2,0,1589.8399999999997,1602.4049999999995,1589.8399999999997,-1,0.0
2000-02-01,1546.2,1554.15,1521.4,1549.5,0,1577.0199999999998,1596.1949999999995,1577.0199999999998,-1,0.0
2000-02-02,1554.2,1605.9,1554.2,1588.0,0,1577.3399999999997,1594.3249999999996,1577.3399999999997,1,2.0
2000-02-03,1591.25,1616.7,1591.25,1597.9,0,1576.1399999999999,1590.6299999999997,1576.1399999999999,1,0.0
2000-02-04,1598.5,1621.35,1596.45,1599.75,0,1576.2699999999998,1590.4949999999994,1576.2699999999998,1,0.0
2000-02-07,1599.8,1645.9,1599.8,1636.6,0,1594.35,1592.0949999999996,1592.0949999999996,1,0.0
2000-02-08,1636.6,1676.1,1636.6,1662.75,0,1617.0,1597.0099999999998,1597.0099999999998,1,0.0
2000-02-09,1666.95,1731.65,1666.7,1689.65,0,1637.33,1607.3349999999996,1607.3349999999996,1,0.0
2000-02-10,1692.1,1713.7,1692.1,1711.2,0,1659.9900000000002,1618.0649999999996,1618.0649999999996,1,0.0
2000-02-11,1712.85,1771.65,1712.85,1756.0,0,1691.2400000000002,1633.7549999999994,1633.7549999999994,1,0.0
2000-02-14,1777.75,1795.45,1738.75,1744.5,0,1712.8200000000002,1653.5849999999996,1653.5849999999996,1,0.0
2000-02-15,1744.5,1744.5,1694.45,1702.55,0,1720.78,1668.8899999999994,1668.8899999999994,1,0.0
2000-02-16,1704.85,1742.8,1704.15,1711.1,0,1725.0700000000002,1681.1999999999994,1681.1999999999994,1,0.0
2000-02-17,1710.05,1753.1,1710.05,1742.1,0,1731.25,1695.619999999999,1695.619999999999,1,0.0
2000-02-18,1742.3,1764.15,1713.45,1718.8,0,1723.81,1707.524999999999,1707.524999999999,1,0.0
