Dates,0,1,2,3,4,5,6,7
2005-06-13,,,,,,,,0.0
2005-06-14,17.800000000000182,49.80000000000018,,,,,,0.0
2005-06-15,89.5,57.5,,,,,,0.0
2005-06-16,107.5,109.5,,,,,,0.0
2005-06-17,19.59999999999991,17.59999999999991,,,,,,0.0
2005-06-20,20.59999999999991,69.59999999999991,,,,,,0.0
2005-06-21,32.0,32.0,,,,,,0.0
2005-06-22,48.0,27.0,,,,,,0.0
2005-06-23,95.25,64.75,,,,,,0.0
2005-06-24,84.75,55.25,,,,,,0.0
2005-06-27,27.949999999999818,45.0,,,,,,0.0
2005-06-28,19.90000000000009,67.94999999999982,,,,,,0.0
2005-06-29,100.0,59.90000000000009,,,,,,0.0
2005-06-30,81.80000000000018,50.94999999999982,,,730.3000000000006,,,0.0
2005-07-01,95.84999999999991,25.800000000000182,840.5,732.5999999999999,824.2000000000007,1.0197767532152382,0.8888619267168154,0.1309148264984228
2005-07-04,121.0,0.9500000000002728,943.6999999999998,683.75,809.5500000000006,1.1657093446976705,0.8446050274844042,0.32110431721326627
2005-07-05,47.05000000000018,36.0,901.25,662.25,857.9000000000005,1.0505303648443869,0.7719431169133927,0.2785872479309942
2005-07-06,76.90000000000009,42.0,870.6500000000001,594.75,821.2000000000007,1.060216755966877,0.7242450073063803,0.3359717486604966
2005-07-07,87.90000000000009,71.90000000000009,938.9500000000003,649.0500000000002,893.4500000000007,1.0509261850131508,0.7264536347865014,0.32447255022664945
2005-07-08,74.0,72.70000000000027,992.3500000000004,652.1500000000005,882.9500000000007,1.1239028257545722,0.7386035449345942,0.385299280819978
2005-07-11,109.80000000000018,4.25,1070.1500000000005,624.4000000000005,927.9000000000005,1.153303157667852,0.6729173402306285,0.48038581743722353
2005-07-12,107.75,14.0,1129.9000000000005,611.4000000000005,934.9000000000005,1.2085784575890468,0.6539736870253505,0.5546047705636963
2005-07-13,93.80000000000018,19.0,1128.4500000000007,565.6500000000005,880.7000000000007,1.2813103213353012,0.6422731917792666,0.6390371295560346
2005-07-14,19.0,93.80000000000018,1062.7000000000007,604.2000000000007,907.7000000000007,1.1707612647350445,0.6656384267929936,0.5051228379420509
2005-07-15,20.0,78.0,1054.750000000001,637.2000000000007,905.7500000000009,1.1645045542368202,0.7035053822798787,0.4609991719569415
2005-07-18,56.0,34.0,1090.8500000000008,603.2500000000009,909.8500000000008,1.1989338902016815,0.6630213771500801,0.5359125130516014
2005-07-19,82.5,5.0,1073.3500000000008,548.3500000000008,839.150000000001,1.2790919382708688,0.6534588571769054,0.6256330810939633
2005-07-20,72.0,6.400000000000091,1063.5500000000006,503.8000000000011,837.4500000000007,1.2699862678368854,0.6015881545166883,0.668398113320197
2005-07-21,23.09999999999991,96.0,990.8000000000006,574.0000000000009,825.5500000000006,1.2001695839137543,0.6952940463933142,0.5048755375204401
2005-07-22,114.0,87.75,983.8000000000006,660.8000000000006,910.1500000000005,1.0809207273526342,0.7260341701917269,0.35488655716090733
2005-07-25,274.75,2.0,1211.5000000000005,626.8000000000006,1016.4500000000007,1.1918933543214123,0.616656008657583,0.5752373456638293
2005-07-26,243.0,50.0,1377.6000000000004,634.8000000000006,1083.6500000000005,1.2712591703963454,0.5857979975084209,0.6854611728879245
2005-07-27,320.0,59.44999999999982,1609.7000000000003,622.3500000000004,1227.2000000000003,1.3116851368970013,0.5071300521512387,0.8045550847457625
2005-07-29,293.4499999999998,95.0,1829.15,644.6500000000001,1318.75,1.3870331753554503,0.4888341232227489,0.8981990521327015
2005-08-01,83.94999999999982,162.5,1803.2999999999997,802.9000000000001,1345.75,1.3399962845996654,0.5966189856957088,0.7433772989039565
2005-08-02,88.5,73.94999999999982,1784.0499999999997,862.8499999999999,1343.75,1.3276651162790696,0.6421209302325581,0.6855441860465115
2005-08-03,63.0,75.0,1753.2499999999995,918.8499999999999,1370.9499999999998,1.278857726394106,0.67022867354754,0.6086290528465661
2005-08-04,35.0,83.0,1769.2499999999995,908.0499999999997,1348.9499999999998,1.3115756699655285,0.6731531932243596,0.6384224767411689
2005-08-05,69.0,35.0,1818.2499999999995,865.0499999999997,1376.9499999999998,1.3204909401212823,0.6282363194015759,0.6922546207197064
2005-08-08,25.0,215.60000000000036,1787.2499999999995,1046.65,1499.5500000000002,1.1918575572671797,0.697976059484512,0.49388149778266766
2005-08-09,60.600000000000364,225.0,1765.35,1266.65,1569.25,1.1249641548510434,0.8071690297913017,0.3177951250597417
2005-08-10,170.0,49.0,1863.35,1309.25,1655.4499999999998,1.125585188317376,0.7908725724123351,0.33471261590504087
2005-08-11,190.0,32.0,2030.25,1245.25,1680.4499999999998,1.2081585289654557,0.7410217501264543,0.4671367788390014
2005-08-12,97.19999999999982,60.0,2013.4499999999998,1217.5,1610.8999999999996,1.2498913650754238,0.7557886895524243,0.49410267552299947
2005-08-16,22.0,95.19999999999982,1760.6999999999998,1310.6999999999998,1516.5999999999995,1.160952129763946,0.8642357905842017,0.29671633917974427
2005-08-17,45.0,92.0,1562.6999999999998,1352.6999999999998,1446.5999999999995,1.0802571547075905,0.935089174616342,0.14516798009124854
2005-08-18,90.05000000000018,62.0,1332.75,1355.25,1289.1999999999998,1.033780639156066,1.0512333229910023,-0.017452683834936256
2005-08-19,29.0,99.0,1068.3000000000002,1359.25,1184.5,0.9018995356690588,1.1475306036302237,-0.24563106796116496
2005-08-22,19.0,135.0,1003.3500000000004,1331.75,1192.0500000000002,0.8417012709198441,1.1171930707604545,-0.27549179984061034
2005-08-23,28.0,174.80000000000018,942.8500000000004,1432.6000000000004,1221.8000000000002,0.7716893108528402,1.1725323293501393,-0.4008430184972991
2005-08-24,14.75,180.0,894.6000000000004,1537.6000000000004,1249.5,0.7159663865546222,1.2305722288915568,-0.5146058423369346
2005-08-25,91.0,56.0,950.6000000000004,1510.6000000000004,1251.5,0.7595685177786659,1.2070315621254497,-0.44746304434678386
2005-08-26,99.19999999999982,52.19999999999982,980.8000000000002,1527.8000000000002,1237.6499999999996,0.7924695996444879,1.2344362299519256,-0.44196663030743766
2005-08-29,6.800000000000182,6.800000000000182,962.6000000000004,1319.0,1062.8499999999995,0.9056781295573231,1.2410029637295956,-0.33532483417227255
2005-08-30,5.25,5.25,907.25,1099.25,1023.6499999999996,0.8862892590240808,1.07385336785034,-0.18756410882625907
2005-08-31,14.75,14.75,752.0,1065.0,904.1999999999998,0.8316744083167442,1.1778367617783678,-0.3461623534616236
2005-09-01,32.0,32.0,594.0,1065.0,798.5999999999995,0.7438016528925625,1.3335837716003014,-0.5897821187077389
2005-09-02,24.25,24.25,521.0500000000002,1029.25,772.6499999999996,0.6743674367436749,1.3321037986151563,-0.6577363618714813
2005-09-05,38.649999999999636,38.649999999999636,537.6999999999998,972.6999999999998,744.2999999999993,0.7224237538626902,1.3068655112185956,-0.5844417573559054
2005-09-06,39.30000000000018,39.30000000000018,532.0,920.0,713.5999999999995,0.7455156950672651,1.289237668161436,-0.5437219730941708
2005-09-08,52.0,52.0,493.9499999999998,910.0,683.5499999999993,0.722624533684442,1.3312852022529456,-0.6086606685685035
2005-09-09,91.94999999999982,91.94999999999982,556.8999999999996,902.9499999999998,729.5499999999993,0.7633472688643687,1.2376807621136328,-0.4743334932492641
2005-09-12,26.850000000000364,6.149999999999636,564.75,774.0999999999995,654.4999999999991,0.8628724216959524,1.1827349121466777,-0.31986249045072535
2005-09-13,56.0,20.0,592.75,619.2999999999993,562.7499999999991,1.0533096401599307,1.1004886717014666,-0.04717903154153591
2005-09-14,44.0,8.0,622.0,447.2999999999993,511.9499999999989,1.214962398671748,0.8737181365367717,0.3412442621349763
2005-09-15,25.0,64.0,556.0,455.2999999999993,546.0499999999993,1.0182217745627704,0.8338064279827853,0.18441534657998515
2005-09-16,30.0,10.0,486.8000000000002,413.09999999999945,578.9499999999998,0.8408325416702657,0.7135331203039978,0.12729942136626782
2005-09-19,95.0,35.0,575.0,441.2999999999993,647.3999999999996,0.8881680568427561,0.6816496756255785,0.20651838121717758
2005-09-20,115.0,65.0,684.75,501.0499999999993,702.5999999999995,0.9745943637916319,0.7131369200113858,0.26145744378024605
2005-09-21,165.0,94.39999999999964,835.0,580.6999999999989,827.2499999999991,1.0093683892414638,0.701964339679661,0.3074040495618028
2005-09-22,89.39999999999964,200.0,892.3999999999996,748.6999999999989,981.2999999999993,0.9094058901457254,0.7629674921023127,0.14643839804341263
