DD_number,DD_start_date,DD_end_date,Max_dd,Max_dd_date,DD_period,DD_recovery_period
37,2005-05-02,2005-05-04,-0.0135405,2005-05-02,2 days,2 days
38,2005-05-10,2005-05-16,-0.007991550000000047,2005-05-10,6 days,6 days
39,2005-05-17,2005-05-23,-0.018691199999999953,2005-05-18,6 days,5 days
40,2005-05-27,2005-06-07,-0.019241900000000138,2005-06-02,11 days,5 days
41,2005-06-16,2005-08-02,-0.04855410000000009,2005-07-20,47 days,13 days
42,2005-08-03,2005-08-04,-0.00378,2005-08-03,1 days,1 days
43,2005-08-05,2005-08-29,-0.018252,2005-08-08,24 days,21 days
44,2005-08-30,2005-10-27,-0.06566680000000027,2005-09-22,58 days,35 days
45,2005-10-31,2006-06-01,-0.20387475000000024,2006-03-08,213 days,85 days
46,2006-06-02,2006-06-08,-0.056472850000000095,2006-06-02,6 days,6 days
47,2006-06-09,2006-06-13,-0.041338850000000094,2006-06-09,4 days,4 days
48,2006-06-15,2006-08-09,-0.09215289999999991,2006-06-26,55 days,44 days
49,2006-08-10,2006-08-11,-0.0003851999999999534,2006-08-10,1 days,1 days
50,2006-08-17,2006-08-18,-0.0012679499999999535,2006-08-17,1 days,1 days
51,2006-08-22,2006-08-24,-0.009116400000000139,2006-08-23,2 days,1 days
52,2006-09-13,2007-04-20,-0.19198569999999948,2007-02-19,219 days,60 days
53,2007-04-23,2007-04-24,-0.00042080000000004655,2007-04-23,1 days,1 days
54,2007-04-27,2007-07-23,-0.08610814999999991,2007-05-24,87 days,60 days
55,2007-07-25,2007-07-26,-0.003839600000000093,2007-07-25,1 days,1 days
56,2007-07-27,2007-08-21,-0.08357795000000019,2007-08-08,25 days,13 days
57,2007-08-22,2007-09-19,-0.057635000000000235,2007-09-05,28 days,14 days
58,2007-10-05,2007-10-15,-0.02840310000000056,2007-10-12,10 days,3 days
59,2007-10-16,2008-01-22,-0.1865513999999999,2008-01-10,98 days,12 days
60,2008-01-23,2008-10-08,-0.27385749999999953,2008-04-16,259 days,175 days
61,2008-10-13,2008-10-16,-0.05864860000000056,2008-10-13,3 days,3 days
62,2008-10-20,2008-10-22,-0.04334509999999963,2008-10-21,2 days,1 days
63,2008-10-28,2009-07-08,-0.33373175,2009-02-26,253 days,132 days
64,2009-07-09,2009-07-10,-0.0015377999999998137,2009-07-09,1 days,1 days
65,2009-07-14,2011-04-04,-0.2606884500000011,2010-01-15,629 days,444 days
66,2011-04-05,2011-08-05,-0.07276850000000093,2011-07-25,122 days,11 days
67,2011-08-10,2011-08-12,-0.0136955,2011-08-10,2 days,2 days
68,2011-08-17,2011-08-18,-0.0071071000000005585,2011-08-17,1 days,1 days
69,2011-08-22,2011-10-28,-0.05773464999999944,2011-10-11,67 days,17 days
70,2011-10-31,2012-02-03,-0.1316843999999999,2011-12-29,95 days,36 days
71,2012-02-07,2012-02-08,-0.0022251499999999067,2012-02-07,1 days,1 days
72,2012-02-10,2012-03-06,-0.02291044999999972,2012-02-28,25 days,7 days
73,2012-03-07,2012-06-07,-0.05949094999999972,2012-05-07,92 days,31 days
74,2012-06-11,2012-06-12,-0.0013803999999994411,2012-06-11,1 days,1 days
75,2012-06-13,2012-06-15,-0.014687049999999814,2012-06-14,2 days,1 days
76,2012-06-18,2012-06-21,-0.018046700000000186,2012-06-18,3 days,3 days
77,2012-06-22,2012-07-10,-0.013103650000000373,2012-06-25,18 days,15 days
78,2012-07-11,2012-07-23,-0.025239,2012-07-19,12 days,4 days
79,2012-07-24,2012-07-25,-0.002810600000000093,2012-07-24,1 days,1 days
80,2012-07-27,2013-07-23,-0.13545,2013-04-02,361 days,112 days
81,2013-07-24,2013-08-16,-0.0380475,2013-08-14,23 days,2 days
82,2013-08-22,2020-03-17,-0.32661234999999916,2015-08-14,2399 days,1677 days
83,2020-03-20,2020-03-23,-0.046030799999999816,2020-03-20,3 days,3 days
84,2020-03-24,2020-04-30,-0.09628889999999991,2020-04-21,37 days,9 days
85,2020-05-04,2020-05-18,-0.057974,2020-05-04,14 days,14 days
