DD_number,DD_start_date,DD_end_date,Max_dd,Max_dd_date,DD_period,DD_recovery_period
1,2000-07-25,2000-07-26,-0.018776699999999952,2000-07-25,1 days,1 days
2,2000-07-27,2000-08-31,-0.02200709999999986,2000-07-28,35 days,34 days
3,2000-09-11,2000-09-12,-0.0123855,2000-09-11,1 days,1 days
4,2000-09-13,2000-11-09,-0.07689780000000004,2000-09-18,57 days,52 days
5,2000-11-10,2000-12-11,-0.04961789999999991,2000-11-13,31 days,28 days
6,2000-12-14,2000-12-22,-0.027977850000000092,2000-12-15,8 days,7 days
7,2000-12-27,2001-03-13,-0.12918819999999995,2001-02-16,76 days,25 days
8,2001-03-14,2001-09-17,-0.1426241000000001,2001-08-13,187 days,35 days
9,2001-09-18,2001-09-21,-0.04399040000000014,2001-09-19,3 days,2 days
10,2001-09-24,2001-11-26,-0.06038240000000014,2001-10-30,63 days,27 days
11,2001-11-27,2002-11-28,-0.12030915000000014,2002-02-07,366 days,294 days
12,2002-11-29,2002-12-02,-0.0037761999999999536,2002-11-29,3 days,3 days
13,2002-12-03,2002-12-06,-0.022752799999999813,2002-12-04,3 days,2 days
14,2002-12-09,2003-01-24,-0.01426415000000014,2003-01-16,46 days,8 days
15,2003-01-28,2003-01-29,-0.00699975,2003-01-28,1 days,1 days
16,2003-01-31,2003-05-16,-0.053685699999999954,2003-03-21,105 days,56 days
17,2003-05-19,2003-05-20,-0.0056385,2003-05-19,1 days,1 days
18,2003-05-21,2003-05-26,-0.009343800000000046,2003-05-22,5 days,4 days
19,2003-05-27,2003-05-28,-0.010525199999999953,2003-05-27,1 days,1 days
20,2003-05-30,2003-06-02,-0.00325,2003-05-30,3 days,3 days
21,2003-06-03,2003-06-04,-0.0055,2003-06-03,1 days,1 days
22,2003-06-10,2003-06-12,-0.011,2003-06-10,2 days,2 days
23,2003-06-16,2003-06-19,-0.005350000000000233,2003-06-16,3 days,3 days
24,2003-06-23,2003-06-25,-0.0105,2003-06-23,2 days,2 days
25,2003-06-27,2003-06-30,-0.0021999999999997672,2003-06-27,3 days,3 days
26,2003-07-01,2003-07-22,-0.00213359999999986,2003-07-01,21 days,21 days
27,2003-07-23,2003-09-18,-0.09080005000000005,2003-08-25,57 days,24 days
28,2003-09-19,2003-09-22,-0.01587599999999977,2003-09-19,3 days,3 days
29,2003-09-23,2003-12-31,-0.14910455000000006,2003-11-28,99 days,33 days
30,2004-01-06,2004-01-08,-0.01809180000000028,2004-01-06,2 days,2 days
31,2004-01-12,2004-01-21,-0.03605134999999986,2004-01-19,9 days,2 days
32,2004-01-23,2004-02-03,-0.06607209999999986,2004-01-27,11 days,7 days
33,2004-02-04,2004-05-17,-0.1715686499999999,2004-03-29,103 days,49 days
34,2004-05-18,2005-03-29,-0.147868,2004-05-25,315 days,308 days
35,2005-03-30,2005-04-19,-0.036318649999999904,2005-04-01,20 days,18 days
36,2005-04-20,2005-04-29,-0.034394550000000045,2005-04-25,9 days,4 days
